Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,334.0,344.875,320.0,327.625,327.625,237400
2000-01-03,344.19000244140625,345.5,311.0,321.25,321.25,285600
2000-01-04,320.0,321.5,300.0,300.0,300.0,215900
2000-01-05,299.625,299.625,262.0,279.75,279.75,1183200
2000-01-06,278.125,278.125,230.0,230.0,230.0,794200
2000-01-07,238.1300048828125,254.5,238.0,248.375,248.375,729100
2000-01-10,255.0,286.25,249.5625,280.0,280.0,1137600
2000-01-11,285.5,297.0,267.25,278.625,278.625,451700
2000-01-12,281.0,289.25,250.0,256.25,256.25,1011200
2000-01-13,260.0625,260.5,218.375,259.25,259.25,1022100
2000-01-14,240.0,254.625,229.0,230.0,230.0,641500
2000-01-18,229.05999755859375,229.06300354003906,207.5,211.5,211.5,822200
2000-01-19,212.0,233.0,212.0,224.75,224.75,1367500
2000-01-20,229.5,235.75,220.0,234.0,234.0,916300
2000-01-21,239.0,275.0,230.0,268.875,268.875,1230900
2000-01-24,268.9375,284.25,258.625,261.0,261.0,832400
2000-01-25,264.0,282.0,254.625,279.31298828125,279.31298828125,369800
2000-01-26,278.0,288.0,274.06298828125,277.5,277.5,596600
2000-01-27,283.25,290.0,264.0,282.0,282.0,524600
2000-01-28,280.5625,285.0625,255.0,270.0,270.0,407900
2000-01-31,270.125,270.125,235.0625,248.75,248.75,663800
2000-02-01,249.125,256.0,235.375,239.125,239.125,320200
2000-02-02,239.1300048828125,245.0,231.25,233.625,233.625,314400
2000-02-03,240.0,252.0,239.875,245.375,245.375,479800
2000-02-04,247.6300048828125,254.0,230.406005859375,235.0,235.0,330200
2000-02-07,230.0,233.0,216.0,228.625,228.625,1577600
2000-02-08,232.875,246.0,232.0625,244.0,244.0,661500
2000-02-09,241.25,244.0,233.0,234.875,234.875,672500
2000-02-10,235.625,237.25,227.0,236.625,236.625,403000
2000-02-11,229.05999755859375,241.0,226.125,233.06300354003906,233.06300354003906,393000
2000-02-14,233.55999755859375,238.75,226.81300354003906,230.375,230.375,359000
2000-02-15,231.75,233.0,217.0,222.5,222.5,380600
2000-02-16,229.75,252.0,228.18800354003906,246.125,246.125,1087700
2000-02-17,246.25,253.0,235.5,252.0,252.0,702300
2000-02-18,252.0,253.0,239.25,241.625,241.625,499000
2000-02-22,238.6300048828125,244.0,238.375,242.125,242.125,374400
2000-02-23,245.0,260.5,233.5,255.9375,255.9375,490100
2000-02-24,253.0,275.375,253.0,264.5,264.5,739500
2000-02-25,274.25,275.0,261.0,267.06298828125,267.06298828125,493500
2000-02-28,265.0,265.375,248.3125,254.0,254.0,453500
2000-02-29,259.2799987792969,262.75,250.0,261.25,261.25,252100
2000-03-01,259.3800048828125,285.875,259.31298828125,278.625,278.625,688000
2000-03-02,279.875,290.6875,253.0,268.0,268.0,530400
2000-03-03,272.0,286.625,265.875,268.375,268.375,585100
2000-03-06,270.5,278.81298828125,252.75,254.0,254.0,363400
2000-03-07,260.0,268.18798828125,255.0,262.43798828125,262.43798828125,585900
2000-03-08,264.19000244140625,269.06298828125,249.0,265.0,265.0,400700
2000-03-09,267.875,288.0,265.15631103515625,280.8125,280.8125,465000
2000-03-10,288.05999755859375,305.93798828125,288.0,296.0,296.0,669300
2000-03-13,289.0,302.5,273.9375,274.03131103515625,274.03131103515625,400500
2000-03-14,283.5,293.0,269.1875,271.0,271.0,238400
2000-03-15,269.55999755859375,270.18798828125,230.18800354003906,240.25,240.25,898600
2000-03-16,245.0,245.5,215.0,232.0,232.0,804400
2000-03-17,229.0,237.5,218.5,222.5,222.5,550800
2000-03-20,218.75,227.875,209.625,213.25,213.25,1239900
2000-03-21,208.875,208.875,189.0,197.5,197.5,1344400
2000-03-22,202.25,225.0,201.31300354003906,208.5,208.5,821000
2000-03-23,208.5625,215.0,199.0,204.0,204.0,630800
2000-03-24,202.5,211.125,202.5,208.625,208.625,307100
2000-03-27,212.0625,219.5,206.125,208.0,208.0,325900
2000-03-28,207.25,207.375,199.0,199.875,199.875,493000
2000-03-29,199.43800354003906,199.43800354003906,168.0,170.0,170.0,1700100
2000-03-30,171.5,172.0625,159.5,161.75,161.75,1395700
2000-03-31,166.5,172.125,155.0,160.8125,160.8125,841200
2000-04-03,160.8125,165.0,118.0,120.9843978881836,120.9843978881836,1812400
2000-04-04,121.875,127.75,105.75,117.0,117.0,2058700
