Date,Open,High,Low,Close,Adj Close,Volume
2006-02-09,,,,,,
2006-03-09,,,,,,
2006-04-11,,,,,,
2006-05-09,,,,,,
2006-06-08,,,,,,
2006-07-11,,,,,,
2006-08-09,,,,,,
2006-09-07,,,,,,
2006-10-10,,,,,,
2006-11-09,,,,,,
2006-12-04,,,,,,
2006-12-27,,,,,,
2007-02-08,,,,,,
2007-03-08,,,,,,
2007-04-10,,,,,,
2007-05-09,,,,,,
2007-06-07,,,,,,
2007-07-10,,,,,,
2007-08-09,,,,,,
2007-09-11,,,,,,
2007-10-09,,,,,,
2007-11-07,,,,,,
2007-12-04,,,,,,
2007-12-27,,,,,,
2008-02-07,,,,,,
2008-03-11,,,,,,
2008-04-09,,,,,,
2008-05-08,,,,,,
2008-06-10,,,,,,
2008-07-09,,,,,,
2008-08-07,,,,,,
2008-09-04,,,,,,
2008-10-09,,,,,,
2008-11-10,,,,,,
2008-12-04,,,,,,
2008-12-29,,,,,,
2009-01-02,9.640000343322754,10.15999984741211,9.539999961853027,10.14799976348877,3.142465114593506,14248.0
2009-01-05,10.1899995803833,10.479999542236328,10.11050033569336,10.119999885559082,3.1337928771972656,28475.0
2009-01-06,10.479999542236328,11.050000190734863,10.222800254821777,10.600000381469727,3.2824316024780273,71655.0
2009-01-07,10.800000190734863,10.9399995803833,10.130000114440918,10.1899995803833,3.155470371246338,31492.0
2009-01-08,10.399999618530273,10.399999618530273,10.100000381469727,10.199999809265137,3.1585683822631836,30610.0
2009-01-09,10.210000038146973,10.27239990234375,10.0,10.029999732971191,3.1059250831604004,18088.0
2009-01-12,10.260000228881836,10.260000228881836,9.860099792480469,9.930000305175781,3.0749595165252686,16884.0
2009-01-13,9.800000190734863,10.399999618530273,9.779999732971191,10.270000457763672,3.1802432537078857,22605.0
2009-01-14,10.25,10.25,9.630000114440918,9.640000343322754,2.9851551055908203,10071.0
2009-01-15,9.800000190734863,9.807600021362305,9.350000381469727,9.59000015258789,2.9696714878082275,38455.0
2009-01-16,9.470000267028809,10.25,9.470000267028809,9.75,3.019219398498535,27102.0
2009-01-20,10.199999809265137,10.199999809265137,9.25,9.359999656677246,2.8984501361846924,20628.0
2009-01-21,9.699999809265137,9.699999809265137,9.289999961853027,9.460000038146973,2.9294164180755615,25213.0
2009-01-22,9.600000381469727,9.600000381469727,9.260000228881836,9.390000343322754,2.9077398777008057,17179.0
2009-01-23,9.520000457763672,9.5600004196167,9.25,9.449999809265137,2.926320791244507,21394.0
2009-01-26,9.6899995803833,9.760000228881836,9.449999809265137,9.524700164794922,2.9494526386260986,33004.0
2009-01-27,9.529999732971191,9.760000228881836,9.5,9.619999885559082,2.9789624214172363,33575.0
2009-01-28,10.170000076293945,10.390000343322754,9.901300430297852,10.149999618530273,3.143082857131958,22822.0
2009-01-29,10.220000267028809,10.220000267028809,9.859999656677246,9.970000267028809,3.087344169616699,12918.0
2009-01-30,9.970000267028809,9.989999771118164,9.479999542236328,9.549200057983398,2.957037925720215,9689.0
2009-02-02,9.260000228881836,9.600000381469727,9.260000228881836,9.479999542236328,2.9356095790863037,15654.0
2009-02-03,9.75,9.949999809265137,9.609999656677246,9.8100004196167,3.03779935836792,28990.0
2009-02-04,9.989999771118164,10.099900245666504,9.899999618530273,10.029899597167969,3.1058943271636963,16985.0
2009-02-05,10.029999732971191,10.029999732971191,9.920000076293945,9.979999542236328,3.090439796447754,21686.0
2009-02-06,10.010000228881836,10.18910026550293,9.899999618530273,10.0600004196167,3.146744728088379,30588.0
2009-02-09,10.0,10.0,9.899999618530273,9.979999542236328,3.121720552444458,22117.0
2009-02-10,9.970000267028809,10.366000175476074,9.781999588012695,10.050000190734863,3.14361572265625,37512.0
2009-02-11,10.850000381469727,10.850000381469727,9.899999618530273,9.920000076293945,3.102954387664795,24652.0
2009-02-12,9.890000343322754,10.300000190734863,9.5,10.199999809265137,3.1905357837677,41040.0
2009-02-13,10.279999732971191,10.279999732971191,10.045599937438965,10.050000190734863,3.14361572265625,19932.0
2009-02-17,10.069999694824219,10.069999694824219,9.420000076293945,9.479999542236328,2.9653220176696777,34767.0
2009-02-18,9.630000114440918,9.630000114440918,9.449999809265137,9.510000228881836,2.9747064113616943,21060.0
2009-02-19,9.6899995803833,9.699999809265137,9.0600004196167,9.180000305175781,2.8714828491210938,20009.0
2009-02-20,8.9399995803833,8.9399995803833,8.229999542236328,8.670100212097168,2.711988925933838,74461.0
2009-02-23,8.84000015258789,8.84000015258789,8.199999809265137,8.210000038146973,2.5680689811706543,31721.0
2009-02-24,8.319999694824219,8.760000228881836,8.239999771118164,8.649999618530273,2.705699920654297,41262.0
2009-02-25,8.6899995803833,8.75,8.149999618530273,8.649999618530273,2.705699920654297,22192.0
2009-02-26,8.619999885559082,8.899999618530273,8.619999885559082,8.663999557495117,2.7100796699523926,15045.0
2009-02-27,8.489999771118164,8.73799991607666,8.449999809265137,8.5,2.658780336380005,13119.0
2009-03-02,8.350000381469727,8.350000381469727,7.517499923706055,7.679999828338623,2.4022860527038574,50526.0
2009-03-03,7.679999828338623,7.811999797821045,7.550000190734863,7.659999847412109,2.3960306644439697,48225.0
2009-03-04,7.690000057220459,8.220000267028809,7.690000057220459,8.039999961853027,2.514894485473633,43028.0
2009-03-05,7.929999828338623,7.980000019073486,7.349999904632568,7.579999923706055,2.3710083961486816,59586.0
2009-03-06,7.619999885559082,8.069999694824219,7.539999961853027,7.659999847412109,2.3960306644439697,51098.0
2009-03-09,7.269999980926514,7.4918999671936035,7.170000076293945,7.200099945068359,2.2819650173187256,36402.0
2009-03-10,7.199999809265137,8.050000190734863,7.199999809265137,7.659999847412109,2.427724599838257,61404.0
2009-03-11,7.590000152587891,8.180000305175781,7.590000152587891,8.020000457763672,2.5418214797973633,43425.0
2009-03-12,8.029999732971191,8.399999618530273,7.980000019073486,8.329999923706055,2.640070915222168,10075.0
2009-03-13,8.34000015258789,8.699999809265137,8.34000015258789,8.637999534606934,2.7376863956451416,21754.0
2009-03-16,8.65999984741211,8.90999984741211,8.65999984741211,8.720000267028809,2.763676404953003,31964.0
2009-03-17,8.819999694824219,9.0,8.649999618530273,8.850000381469727,2.8048787117004395,67849.0
2009-03-18,8.800000190734863,8.880000114440918,8.569999694824219,8.760000228881836,2.776350975036621,34987.0
2009-03-19,8.960000038146973,8.970000267028809,8.649999618530273,8.649999618530273,2.7414886951446533,17887.0
2009-03-20,8.5600004196167,8.710000038146973,8.550000190734863,8.704400062561035,2.758730888366699,15376.0
2009-03-23,8.75,9.199999809265137,8.75,9.16759967803955,2.9055352210998535,19427.0
2009-03-24,9.0,9.289999961853027,8.850000381469727,9.149999618530273,2.8999576568603516,27374.0
2009-03-25,9.289999961853027,9.430000305175781,9.0,9.300000190734863,2.947497606277466,30174.0
2009-03-26,9.260000228881836,9.489999771118164,9.25,9.369999885559082,2.9696834087371826,18475.0
2009-03-27,9.229999542236328,9.369999885559082,9.179699897766113,9.300000190734863,2.947497606277466,16365.0
2009-03-30,9.010000228881836,9.100000381469727,8.800000190734863,8.819999694824219,2.795367956161499,7803.0
2009-03-31,8.859999656677246,9.319999694824219,8.859999656677246,9.100000381469727,2.884110689163208,17170.0
2009-04-01,8.84000015258789,9.300000190734863,8.710000038146973,9.180000305175781,2.9094645977020264,19911.0
2009-04-02,9.520000457763672,9.595000267028809,9.34000015258789,9.40999984741211,2.9823620319366455,20916.0
2009-04-03,9.25,9.5,9.029999732971191,9.40999984741211,2.9823620319366455,17185.0
2009-04-06,9.1899995803833,9.600000381469727,9.180000305175781,9.5,3.0108842849731445,19162.0
2009-04-07,9.25,9.40999984741211,9.149999618530273,9.239999771118164,2.928481340408325,13735.0
2009-04-08,9.198800086975098,9.283699989318848,9.119999885559082,9.1899995803833,2.944499969482422,9252.0
2009-04-09,9.34000015258789,9.5,9.210000038146973,9.399999618530273,3.0117857456207275,35978.0
2009-04-13,9.369999885559082,9.539999961853027,9.359999656677246,9.529999732971191,3.053439140319824,6176.0
2009-04-14,9.359999656677246,9.680000305175781,9.350000381469727,9.359999656677246,2.998971462249756,24569.0
2009-04-15,9.220000267028809,9.449999809265137,9.220000267028809,9.399999618530273,3.0117857456207275,18452.0
2009-04-16,9.539999961853027,9.649999618530273,9.40999984741211,9.609999656677246,3.079073190689087,23814.0
2009-04-17,9.550000190734863,9.710000038146973,9.510000228881836,9.649999618530273,3.0918867588043213,48918.0
2009-04-20,9.510000228881836,9.550000190734863,9.328900337219238,9.371999740600586,3.0028162002563477,23946.0
2009-04-21,9.239999771118164,9.770000457763672,9.239999771118164,9.470000267028809,3.034214973449707,18428.0
2009-04-22,9.3100004196167,9.5600004196167,9.3100004196167,9.5,3.043826103210449,11450.0
2009-04-23,9.680000305175781,9.747200012207031,9.470000267028809,9.640000343322754,3.088683605194092,18736.0
2009-04-24,9.720000267028809,9.779999732971191,9.600000381469727,9.680000305175781,3.10149884223938,41922.0
2009-04-27,9.640000343322754,9.739999771118164,9.617600440979004,9.6899995803833,3.104703664779663,10365.0
2009-04-28,9.520000457763672,9.699999809265137,9.199999809265137,9.65999984741211,3.0950927734375,11170.0
2009-04-29,9.739999771118164,9.84000015258789,9.520000457763672,9.729999542236328,3.117518186569214,29074.0
2009-04-30,9.859999656677246,9.989999771118164,9.779999732971191,9.779999732971191,3.133540153503418,24780.0
2009-05-01,9.680000305175781,9.90999984741211,9.680000305175781,9.850000381469727,3.155968189239502,23893.0
2009-05-04,9.960000038146973,10.25,9.911999702453613,10.180000305175781,3.261702537536621,47213.0
2009-05-05,10.170000076293945,10.248800277709961,10.079999923706055,10.199999809265137,3.2681097984313965,63365.0
2009-05-06,10.220000267028809,10.529999732971191,10.220000267028809,10.529999732971191,3.3738410472869873,82983.0
2009-05-07,10.550000190734863,10.5600004196167,10.257200241088867,10.289999961853027,3.3285555839538574,32236.0
2009-05-08,10.300000190734863,10.5,10.270000457763672,10.5,3.3964853286743164,22029.0
2009-05-11,10.25,10.40999984741211,10.15999984741211,10.297599792480469,3.3310136795043945,27603.0
2009-05-12,10.350000381469727,10.350000381469727,10.079999923706055,10.229999542236328,3.3091461658477783,34502.0
2009-05-13,10.119999885559082,10.149999618530273,10.0,10.029999732971191,3.244452714920044,34651.0
2009-05-14,10.0,10.279999732971191,10.0,10.119999885559082,3.2735626697540283,45703.0
2009-05-15,10.180000305175781,10.220000267028809,10.0,10.069999694824219,3.2573907375335693,48180.0
2009-05-18,10.25,10.380000114440918,10.149999618530273,10.350000381469727,3.347963333129883,46270.0
2009-05-19,10.40999984741211,10.550000190734863,10.250399589538574,10.420000076293945,3.370607614517212,38367.0
2009-05-20,10.420000076293945,10.720000267028809,10.399999618530273,10.420000076293945,3.370607614517212,38347.0
2009-05-21,10.329999923706055,10.420000076293945,10.260000228881836,10.40999984741211,3.3673694133758545,33194.0
2009-05-22,10.420000076293945,10.770000457763672,10.40999984741211,10.770000457763672,3.483820676803589,68931.0
2009-05-26,10.720000267028809,11.0600004196167,10.638999938964844,11.010000228881836,3.5614562034606934,53713.0
2009-05-27,10.989999771118164,11.079999923706055,10.850000381469727,11.079999923706055,3.584099769592285,55456.0
2009-05-28,11.300000190734863,11.3100004196167,10.850000381469727,11.10990047454834,3.593773365020752,65205.0
2009-05-29,11.199999809265137,11.199999809265137,10.899999618530273,11.130000114440918,3.600276231765747,23725.0
2009-06-01,11.119999885559082,11.84000015258789,11.11989974975586,11.369999885559082,3.6779072284698486,92629.0
2009-06-02,11.390000343322754,11.6899995803833,11.380000114440918,11.600000381469727,3.752307176589966,30737.0
2009-06-03,11.470000267028809,11.569999694824219,11.449999809265137,11.5,3.7199580669403076,28430.0
2009-06-04,11.59000015258789,11.760000228881836,11.586199760437012,11.760000228881836,3.8040640354156494,24000.0
2009-06-05,11.899999618530273,12.0,11.60990047454834,11.723699569702148,3.79232120513916,68770.0
2009-06-08,11.699999809265137,11.710000038146973,11.380000114440918,11.550000190734863,3.7682740688323975,23437.0
2009-06-09,11.640000343322754,11.789999961853027,11.630000114440918,11.760000228881836,3.8367905616760254,25179.0
2009-06-10,11.949999809265137,11.979999542236328,11.539999961853027,11.668100357055664,3.8068087100982666,39329.0
2009-06-11,11.739999771118164,12.129899978637695,11.594499588012695,11.84000015258789,3.8628883361816406,61835.0
2009-06-12,11.960000038146973,11.960000038146973,11.829999923706055,11.84000015258789,3.8628883361816406,16655.0
2009-06-15,11.84000015258789,11.84000015258789,11.357799530029297,11.420000076293945,3.7258613109588623,19851.0
2009-06-16,11.5600004196167,11.649999618530273,11.119999885559082,11.260000228881836,3.6736626625061035,37724.0
2009-06-17,11.34000015258789,11.399999618530273,11.212699890136719,11.380000114440918,3.7128114700317383,29221.0
2009-06-18,11.3100004196167,11.600000381469727,11.270000457763672,11.449999809265137,3.735650062561035,37536.0
2009-06-19,11.609999656677246,11.649999618530273,11.399999618530273,11.550000190734863,3.7682740688323975,24128.0
2009-06-22,11.430000305175781,11.449999809265137,11.109999656677246,11.199999809265137,3.6540842056274414,24441.0
2009-06-23,10.8100004196167,11.050000190734863,10.75,11.0,3.5888333320617676,49225.0
