Date,Open,High,Low,Close,Adj Close,Volume
2000-03-10,,,,,,
2000-04-11,,,,,,
2000-05-10,,,,,,
2000-06-12,,,,,,
2000-07-12,,,,,,
2000-08-09,,,,,,
2000-09-12,,,,,,
2000-10-05,,,,,,
2000-11-06,,,,,,
2000-12-01,,,,,,
2000-12-21,,,,,,
2001-02-09,,,,,,
2001-03-12,,,,,,
2001-04-09,,,,,,
2001-05-10,,,,,,
2001-06-12,,,,,,
2001-07-10,,,,,,
2001-08-08,,,,,,
2001-09-17,,,,,,
2001-10-04,,,,,,
2001-11-07,,,,,,
2001-12-03,,,,,,
2001-12-21,,,,,,
2002-02-07,,,,,,
2002-03-07,,,,,,
2002-04-08,,,,,,
2002-05-09,,,,,,
2002-06-10,,,,,,
2002-07-09,,,,,,
2002-08-08,,,,,,
2002-09-06,,,,,,
2002-10-08,,,,,,
2002-11-06,,,,,,
2002-12-04,,,,,,
2002-12-26,,,,,,
2003-02-07,,,,,,
2003-03-07,,,,,,
2003-04-07,,,,,,
2003-05-06,,,,,,
2003-06-06,,,,,,
2003-07-08,,,,,,
2003-08-05,,,,,,
2003-09-08,,,,,,
2003-10-06,,,,,,
2003-11-07,,,,,,
2003-12-05,,,,,,
2003-12-26,,,,,,
2004-02-10,,,,,,
2004-03-08,,,,,,
2004-04-07,,,,,,
2004-05-03,,,,,,
2004-06-08,,,,,,
2004-07-09,,,,,,
2004-08-09,,,,,,
2004-09-08,,,,,,
2004-10-07,,,,,,
2004-11-05,,,,,,
2004-12-06,,,,,,
2004-12-28,,,,,,
2005-02-07,,,,,,
2005-03-08,,,,,,
2005-04-11,,,,,,
2005-05-10,,,,,,
2005-06-07,,,,,,
2005-07-11,,,,,,
2005-08-08,,,,,,
2005-09-09,,,,,,
2005-10-11,,,,,,
2005-11-07,,,,,,
2005-12-06,,,,,,
2005-12-22,,,,,,
2006-02-06,,,,,,
2006-03-08,,,,,,
2006-04-10,,,,,,
2006-05-08,,,,,,
2006-06-07,,,,,,
2006-07-11,,,,,,
2006-08-08,,,,,,
2006-09-11,,,,,,
2006-10-11,,,,,,
2006-11-07,,,,,,
2006-12-08,,,,,,
2006-12-26,,,,,,
2007-02-06,,,,,,
2007-03-08,,,,,,
2007-04-09,,,,,,
2007-05-08,,,,,,
2007-06-08,,,,,,
2007-07-11,,,,,,
2007-08-10,,,,,,
2007-09-11,,,,,,
2007-10-11,,,,,,
2007-11-08,,,,,,
2007-12-10,,,,,,
2007-12-26,,,,,,
2008-02-05,,,,,,
2008-03-11,,,,,,
2008-04-09,,,,,,
2008-05-09,,,,,,
2008-06-10,,,,,,
2008-07-11,,,,,,
2008-08-05,,,,,,
2008-09-09,,,,,,
2008-10-09,,,,,,
2008-11-06,,,,,,
2008-12-09,,,,,,
2008-12-24,,,,,,
2009-01-02,2.2799999713897705,2.4000000953674316,2.25,2.390000104904175,0.6675721406936646,394452.0
2009-01-05,2.4000000953674316,2.450000047683716,2.359999895095825,2.4000000953674316,0.6703657507896423,386421.0
2009-01-06,2.450000047683716,2.5899999141693115,2.4200000762939453,2.549999952316284,0.7122631072998047,697983.0
2009-01-07,2.5799999237060547,2.5899999141693115,2.4800000190734863,2.526599884033203,0.7057268023490906,355380.0
2009-01-08,2.549999952316284,2.5799999237060547,2.5199999809265137,2.569999933242798,0.7178497314453125,226373.0
2009-01-09,2.5799999237060547,2.5899999141693115,2.5239999294281006,2.5799999237060547,0.7206425070762634,203502.0
2009-01-12,2.5899999141693115,2.6700000762939453,2.5899999141693115,2.6500000953674316,0.7401955723762512,374916.0
2009-01-13,2.619999885559082,2.740000009536743,2.609999895095825,2.6898999214172363,0.7513397932052612,423792.0
2009-01-14,2.6500000953674316,2.6700000762939453,2.5299999713897705,2.5299999713897705,0.7066767811775208,406295.0
2009-01-15,2.549999952316284,2.5596001148223877,2.450000047683716,2.4800000190734863,0.6927107572555542,260206.0
2009-01-16,2.5799999237060547,2.5899999141693115,2.5,2.5899999141693115,0.7234355211257935,232200.0
2009-01-20,2.619999885559082,2.619999885559082,2.5199999809265137,2.5799999237060547,0.7206425070762634,184043.0
2009-01-21,2.5899999141693115,2.640000104904175,2.5399999618530273,2.630000114440918,0.7346088290214539,172027.0
2009-01-22,2.5999999046325684,2.630000114440918,2.5899999141693115,2.630000114440918,0.7346088290214539,195344.0
2009-01-23,2.630000114440918,2.6700000762939453,2.5899999141693115,2.6700000762939453,0.7457809448242188,179534.0
2009-01-26,2.680000066757202,2.690000057220459,2.6500000953674316,2.6500000953674316,0.7401955723762512,150254.0
2009-01-27,2.680000066757202,2.690000057220459,2.6500000953674316,2.6698999404907227,0.7457531690597534,189152.0
2009-01-28,2.7300000190734863,2.740000009536743,2.6600000858306885,2.7100000381469727,0.7569542527198792,181295.0
2009-01-29,2.700000047683716,2.740000009536743,2.6700000762939453,2.7200000286102295,0.7597472071647644,175221.0
2009-01-30,2.740000009536743,2.75,2.6700000762939453,2.7200000286102295,0.7597472071647644,177829.0
2009-02-02,2.7100000381469727,2.740000009536743,2.680000066757202,2.7300000190734863,0.762540340423584,110858.0
2009-02-03,2.7300000190734863,2.75,2.7200000286102295,2.740000009536743,0.7653337717056274,102468.0
2009-02-04,2.75,2.7799999713897705,2.700000047683716,2.7300000190734863,0.762540340423584,429867.0
2009-02-05,2.7300000190734863,2.740000009536743,2.690000057220459,2.7100000381469727,0.7569542527198792,240049.0
2009-02-06,2.680000066757202,2.7200000286102295,2.680000066757202,2.702500104904175,0.7633092403411865,123753.0
2009-02-09,2.700000047683716,2.75,2.684000015258789,2.75,0.7767255306243896,119069.0
2009-02-10,2.7699999809265137,2.7699999809265137,2.680000066757202,2.680000066757202,0.7569541335105896,217342.0
2009-02-11,2.680000066757202,2.75,2.6700000762939453,2.75,0.7767255306243896,106520.0
2009-02-12,2.7300000190734863,2.7699999809265137,2.700000047683716,2.740000009536743,0.7739009857177734,122136.0
2009-02-13,2.7300000190734863,2.75,2.7200000286102295,2.7300000190734863,0.7710763812065125,82528.0
2009-02-17,2.700000047683716,2.7200000286102295,2.549999952316284,2.58489990234375,0.7300940155982971,213296.0
2009-02-18,2.430000066757202,2.549999952316284,2.4200000762939453,2.490000009536743,0.7032895088195801,268495.0
2009-02-19,2.5,2.509999990463257,2.369999885559082,2.416599988937378,0.682558000087738,430546.0
2009-02-20,2.4200000762939453,2.430000066757202,2.2200000286102295,2.390000104904175,0.6750450134277344,301003.0
2009-02-23,2.390000104904175,2.4000000953674316,2.299999952316284,2.3399999141693115,0.6609227657318115,149658.0
2009-02-24,2.25,2.4600000381469727,2.25,2.44320011138916,0.6900711059570312,216632.0
2009-02-25,2.5,2.5199999809265137,2.3299999237060547,2.430000066757202,0.6863430142402649,143149.0
2009-02-26,2.4200000762939453,2.5199999809265137,2.4200000762939453,2.4600000381469727,0.694815993309021,159964.0
2009-02-27,2.4100000858306885,2.440000057220459,2.4100000858306885,2.430000066757202,0.6863430142402649,84427.0
2009-03-02,2.4100000858306885,2.4100000858306885,2.1600000858306885,2.25,0.6355026960372925,241196.0
2009-03-03,2.190000057220459,2.2799999713897705,2.1600000858306885,2.199899911880493,0.621351957321167,255259.0
2009-03-04,2.190000057220459,2.2799999713897705,2.180000066757202,2.259999990463257,0.6383269429206848,116717.0
2009-03-05,2.1600000858306885,2.200000047683716,2.0999999046325684,2.124000072479248,0.5999146103858948,219107.0
2009-03-06,2.1600000858306885,2.1600000858306885,2.069999933242798,2.0999999046325684,0.5931360721588135,133402.0
2009-03-09,2.0199999809265137,2.049999952316284,1.9800000190734863,2.009999990463257,0.5677157640457153,264473.0
2009-03-10,1.9900000095367432,2.0299999713897705,1.9800000190734863,2.0,0.5734498500823975,574466.0
