Date,Open,High,Low,Close,Adj Close,Volume
2000-02-08,,,,,,
2000-03-10,,,,,,
2000-04-11,,,,,,
2000-05-10,,,,,,
2000-06-12,,,,,,
2000-07-12,,,,,,
2000-08-09,,,,,,
2000-09-12,,,,,,
2000-10-11,,,,,,
2000-11-10,,,,,,
2000-12-12,,,,,,
2001-01-11,,,,,,
2001-02-09,,,,,,
2001-03-12,,,,,,
2001-04-10,,,,,,
2001-05-10,,,,,,
2001-06-12,,,,,,
2001-07-12,,,,,,
2001-08-10,,,,,,
2001-09-10,,,,,,
2001-09-17,,,,,,
2001-10-10,,,,,,
2001-11-08,,,,,,
2001-11-09,,,,,,
2001-12-11,,,,,,
2002-01-10,,,,,,
2002-02-11,,,,,,
2002-03-12,,,,,,
2002-04-09,,,,,,
2002-05-10,,,,,,
2002-06-11,,,,,,
2002-07-11,,,,,,
2002-08-12,,,,,,
2002-09-11,,,,,,
2002-10-09,,,,,,
2002-11-08,,,,,,
2002-12-11,,,,,,
2003-01-10,,,,,,
2003-02-11,,,,,,
2003-03-12,,,,,,
2003-04-10,,,,,,
2003-05-12,,,,,,
2003-06-11,,,,,,
2003-07-11,,,,,,
2003-08-12,,,,,,
2003-09-11,,,,,,
2003-10-10,,,,,,
2003-11-10,,,,,,
2003-12-09,,,,,,
2004-01-12,,,,,,
2004-02-10,,,,,,
2004-03-10,,,,,,
2004-04-13,,,,,,
2004-05-12,,,,,,
2004-06-10,,,,,,
2004-07-12,,,,,,
2004-08-11,,,,,,
2004-09-09,,,,,,
2004-10-08,,,,,,
2004-11-09,,,,,,
2004-12-10,,,,,,
2005-01-11,,,,,,
2005-02-04,,,,,,
2005-03-09,,,,,,
2005-04-11,,,,,,
2005-05-10,,,,,,
2005-06-10,,,,,,
2005-07-12,,,,,,
2005-08-10,,,,,,
2005-08-12,,,,,,
2005-09-12,,,,,,
2005-10-12,,,,,,
2005-11-10,,,,,,
2005-12-12,,,,,,
2006-01-12,,,,,,
2006-02-07,,,,,,
2006-03-10,,,,,,
2006-04-10,,,,,,
2006-05-10,,,,,,
2006-06-09,,,,,,
2006-07-12,,,,,,
2006-08-11,,,,,,
2006-09-13,,,,,,
2006-10-12,,,,,,
2006-11-13,,,,,,
2006-12-12,,,,,,
2007-01-11,,,,,,
2007-02-09,,,,,,
2007-03-13,,,,,,
2007-04-12,,,,,,
2007-05-11,,,,,,
2007-06-11,,,,,,
2007-07-11,,,,,,
2007-08-09,,,,,,
2007-09-12,,,,,,
2007-10-09,,,,,,
2007-11-08,,,,,,
2007-12-11,,,,,,
2008-01-10,,,,,,
2008-02-05,,,,,,
2008-03-11,,,,,,
2008-04-09,,,,,,
2008-05-09,,,,,,
2008-06-10,,,,,,
2008-07-10,,,,,,
2008-08-11,,,,,,
2008-09-10,,,,,,
2008-10-09,,,,,,
2008-11-14,,,,,,
2008-12-10,,,,,,
2009-01-02,6.690000057220459,7.28000020980835,6.5,7.0,3.3201282024383545,43016.0
2009-01-05,7.510000228881836,7.510000228881836,6.98960018157959,7.0,3.3201282024383545,32944.0
2009-01-06,7.199999809265137,7.210000038146973,7.0,7.039999961853027,3.339101552963257,17978.0
2009-01-07,7.119999885559082,7.119999885559082,7.0,7.039999961853027,3.339101552963257,30868.0
2009-01-08,7.010000228881836,7.159999847412109,7.010000228881836,7.159999847412109,3.396019220352173,35872.0
2009-01-09,7.260000228881836,7.349999904632568,7.150000095367432,7.320000171661377,3.471906900405884,58276.0
2009-01-12,7.320000171661377,7.46999979019165,7.150000095367432,7.369999885559082,3.495622396469116,105589.0
2009-01-13,7.429999828338623,7.510000228881836,7.260000228881836,7.260000228881836,3.462712049484253,51263.0
2009-01-14,7.300000190734863,7.300000190734863,7.099999904632568,7.28000020980835,3.4722516536712646,62002.0
2009-01-15,7.239999771118164,7.389999866485596,7.139999866485596,7.349999904632568,3.505636215209961,35086.0
2009-01-16,7.389999866485596,7.840000152587891,7.380000114440918,7.590000152587891,3.620107650756836,69563.0
2009-01-20,7.590000152587891,7.829999923706055,7.400000095367432,7.489999771118164,3.5724117755889893,66479.0
2009-01-21,7.590000152587891,7.690000057220459,7.429999828338623,7.590000152587891,3.620107650756836,33578.0
2009-01-22,7.579999923706055,7.679999828338623,7.329999923706055,7.449999809265137,3.5533363819122314,37077.0
2009-01-23,7.480000019073486,7.5,7.059999942779541,7.480000019073486,3.5676422119140625,49388.0
2009-01-26,7.659999847412109,7.659999847412109,7.409999847412109,7.5,3.577181100845337,30055.0
2009-01-27,7.619999885559082,7.679999828338623,7.449999809265137,7.630000114440918,3.639186143875122,42364.0
2009-01-28,7.699999809265137,7.730000019073486,7.570000171661377,7.659999847412109,3.653496265411377,38735.0
2009-01-29,7.619999885559082,7.71999979019165,7.610000133514404,7.690000057220459,3.6678035259246826,26688.0
