Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,377.5,377.5,350.0,377.5,377.5,2064
2000-01-03,386.25,386.25,353.75,363.75,363.75,1754
2000-01-04,365.0,365.0,350.0,362.5,362.5,2448
2000-01-05,360.0,360.0,335.0,357.5,357.5,2376
2000-01-06,357.5,357.5,325.0,328.1300048828125,328.1300048828125,1283
2000-01-07,335.0,335.0,303.1300048828125,322.5,322.5,5156
2000-01-10,357.5,357.5,325.0,347.5,347.5,2693
2000-01-11,352.5,352.5,330.0,332.5,332.5,1230
2000-01-12,334.3800048828125,334.3800048828125,305.0,305.0,305.0,2147
2000-01-13,315.0,315.0,288.1300048828125,291.25,291.25,3661
2000-01-14,307.5,307.5,275.0,288.75,288.75,5061
2000-01-18,289.3800048828125,289.3800048828125,266.8800048828125,267.5,267.5,5101
2000-01-19,305.0,305.0,250.0,296.25,296.25,9015
2000-01-20,381.25,381.25,300.0,360.6300048828125,360.6300048828125,8863
2000-01-21,419.3800048828125,419.3800048828125,381.25,404.3800048828125,404.3800048828125,12285
2000-01-24,460.0,460.0,418.75,422.5,422.5,8417
2000-01-25,442.5,442.5,418.75,435.0,435.0,4175
2000-01-26,450.0,450.0,412.5,432.5,432.5,4452
2000-01-27,473.75,473.75,365.0,405.0,405.0,6866
2000-01-28,400.6300048828125,400.6300048828125,347.5,351.25,351.25,3559
2000-01-31,356.25,356.25,315.0,346.25,346.25,2294
2000-02-01,397.19000244140625,397.19000244140625,350.0,383.75,383.75,1949
2000-02-02,382.5,382.5,365.0,371.25,371.25,1495
2000-02-03,385.0,385.0,363.75,380.0,380.0,1556
2000-02-04,389.3800048828125,389.3800048828125,370.0,386.55999755859375,386.55999755859375,1153
2000-02-07,420.0,420.0,390.0,402.5,402.5,3737
2000-02-08,441.25,441.25,405.0,423.75,423.75,2452
2000-02-09,436.25,436.25,425.0,430.0,430.0,1811
2000-02-10,451.25,451.25,426.25,435.0,435.0,1747
2000-02-11,440.0,440.0,411.25,430.0,430.0,1237
2000-02-14,445.0,445.0,417.5,429.3800048828125,429.3800048828125,1475
2000-02-15,440.0,440.0,420.0,435.0,435.0,1840
2000-02-16,460.0,460.0,431.25,440.0,440.0,3167
2000-02-17,464.3800048828125,464.3800048828125,440.0,451.25,451.25,1031
2000-02-18,460.0,460.0,432.5,457.5,457.5,1931
2000-02-22,455.0,455.0,436.8800048828125,442.5,442.5,1388
2000-02-23,485.0,485.0,447.5,471.25,471.25,1779
2000-02-24,531.8800048828125,531.8800048828125,462.5,531.25,531.25,4414
2000-02-25,560.0,560.0,520.0,536.8800048828125,536.8800048828125,3202
2000-02-28,541.25,541.25,480.0,500.6300048828125,500.6300048828125,1859
2000-02-29,570.0,570.0,500.6300048828125,563.75,563.75,2210
2000-03-01,620.0,620.0,563.75,615.0,615.0,1666
2000-03-02,675.0,675.0,615.0,628.75,628.75,3810
2000-03-03,740.0,740.0,625.0,685.0,685.0,2735
2000-03-06,702.5,702.5,635.0,635.6300048828125,635.6300048828125,1698
2000-03-07,671.25,671.25,556.25,561.25,561.25,1783
2000-03-08,567.5,567.5,502.5,546.25,546.25,2780
2000-03-09,560.0,560.0,530.0,538.1300048828125,538.1300048828125,808
2000-03-10,592.5,592.5,541.25,575.0,575.0,1918
2000-03-13,552.5,552.5,510.0,531.25,531.25,967
2000-03-14,576.25,576.25,540.0,555.0,555.0,1694
2000-03-15,570.0,570.0,502.5,515.0,515.0,2389
2000-03-16,532.5,532.5,433.44000244140625,476.25,476.25,2760
2000-03-17,480.0,480.0,450.0,462.5,462.5,3027
2000-03-20,475.0,475.0,375.0,380.0,380.0,2594
2000-03-21,390.0,390.0,355.6300048828125,359.3800048828125,359.3800048828125,3436
2000-03-22,448.75,448.75,360.0,426.25,426.25,6434
2000-03-23,441.25,441.25,422.5,430.0,430.0,2697
2000-03-24,435.0,435.0,398.75,400.0,400.0,497
2000-03-27,430.0,430.0,385.0,396.25,396.25,1122
2000-03-28,411.25,411.25,380.0,388.75,388.75,1163
2000-03-29,400.0,400.0,345.6300048828125,360.0,360.0,2601
2000-03-30,378.75,378.75,330.6300048828125,363.44000244140625,363.44000244140625,3833
2000-03-31,400.0,400.0,330.6300048828125,390.0,390.0,2370
2000-04-03,380.0,380.0,281.25,325.0,325.0,2396
2000-04-04,330.0,330.0,260.0,291.25,291.25,5722
2000-04-05,300.0,300.0,260.0,272.5,272.5,6451
2000-04-06,302.5,302.5,262.5,272.5,272.5,3468
2000-04-07,301.25,301.25,280.0,300.0,300.0,4299
2000-04-10,307.5,307.5,246.8800048828125,250.0,250.0,3587
2000-04-11,267.5,267.5,230.0,236.25,236.25,4703
2000-04-12,245.0,245.0,185.6300048828125,190.0,190.0,2684
2000-04-13,215.0,215.0,178.75,200.0,200.0,4627
2000-04-14,200.6300048828125,200.6300048828125,170.0,180.0,180.0,3746
2000-04-17,170.0,170.0,123.12999725341797,132.5,132.5,3927
2000-04-18,170.0,170.0,140.0,162.5,162.5,5498
2000-04-19,200.0,200.0,155.30999755859375,176.8800048828125,176.8800048828125,7249
2000-04-20,188.75,188.75,160.6300048828125,167.5,167.5,2019
2000-04-24,165.0,165.0,141.8800048828125,150.0,150.0,1280
2000-04-25,190.0,190.0,158.1300048828125,180.6300048828125,180.6300048828125,2752
2000-04-26,190.0,190.0,165.0,170.6300048828125,170.6300048828125,2917
2000-04-27,170.94000244140625,170.94000244140625,150.0,167.5,167.5,1035
2000-04-28,185.0,185.0,162.5,166.25,166.25,1980
2000-05-01,185.0,185.0,163.75,172.5,172.5,2477
2000-05-02,200.6300048828125,200.6300048828125,165.6300048828125,180.0,180.0,4842
2000-05-03,180.0,180.0,159.3800048828125,167.5,167.5,1917
2000-05-04,178.75,178.75,165.0,169.3800048828125,169.3800048828125,1328
2000-05-05,205.6300048828125,205.6300048828125,160.6300048828125,198.75,198.75,7794
2000-05-08,230.0,230.0,196.25,210.0,210.0,6570
2000-05-09,228.75,228.75,197.5,206.25,206.25,5353
2000-05-10,205.6300048828125,205.6300048828125,167.5,177.5,177.5,4134
2000-05-11,187.5,187.5,165.0,170.0,170.0,1947
2000-05-12,178.75,178.75,167.5,167.5,167.5,1207
2000-05-15,170.0,170.0,158.1300048828125,169.3800048828125,169.3800048828125,1051
2000-05-16,186.25,186.25,167.5,172.5,172.5,4052
2000-05-17,171.25,171.25,162.5,168.1300048828125,168.1300048828125,1659
2000-05-18,170.6300048828125,170.6300048828125,165.0,166.25,166.25,1086
2000-05-19,170.0,170.0,148.75,152.5,152.5,1770
2000-05-22,155.6300048828125,155.6300048828125,115.0,132.5,132.5,2399
2000-05-23,151.8800048828125,151.8800048828125,131.8800048828125,132.5,132.5,2066
2000-05-24,138.75,138.75,116.25,125.62999725341797,125.62999725341797,2107
2000-05-25,137.5,137.5,115.0,117.5,117.5,1855
2000-05-26,118.75,118.75,102.5,105.0,105.0,2289
2000-05-30,124.37999725341797,124.37999725341797,105.62999725341797,122.5,122.5,7195
2000-05-31,131.8800048828125,131.8800048828125,113.12999725341797,116.87999725341797,116.87999725341797,4165
2000-06-01,124.37999725341797,124.37999725341797,110.0,116.87999725341797,116.87999725341797,2580
2000-06-02,140.0,140.0,124.69000244140625,132.5,132.5,5973
2000-06-05,149.3800048828125,149.3800048828125,132.5,141.8800048828125,141.8800048828125,9122
2000-06-06,165.6300048828125,165.6300048828125,143.75,146.25,146.25,9848
2000-06-07,153.75,153.75,140.6300048828125,145.0,145.0,6173
2000-06-08,151.8800048828125,151.8800048828125,137.5,138.1300048828125,138.1300048828125,5450
2000-06-09,143.75,143.75,131.25,135.0,135.0,5442
2000-06-12,138.75,138.75,122.5,125.62999725341797,125.62999725341797,3220
2000-06-13,126.87999725341797,126.87999725341797,110.62999725341797,118.75,118.75,4874
2000-06-14,133.75,133.75,113.12999725341797,115.62999725341797,115.62999725341797,9136
2000-06-15,127.5,127.5,113.12999725341797,117.5,117.5,14392
2000-06-16,123.75,123.75,113.75,116.25,116.25,4128
2000-06-19,120.0,120.0,110.62999725341797,112.5,112.5,4374
2000-06-20,111.25,111.25,102.5,106.25,106.25,7292
2000-06-21,115.62999725341797,115.62999725341797,104.37999725341797,111.87999725341797,111.87999725341797,8496
2000-06-22,124.37999725341797,124.37999725341797,112.5,118.75,118.75,9925
2000-06-23,119.37999725341797,119.37999725341797,108.75,110.0,110.0,3474
2000-06-26,113.75,113.75,108.75,110.0,110.0,5053
2000-06-27,112.5,112.5,103.75,110.62999725341797,110.62999725341797,2888
2000-06-28,111.25,111.25,107.5,110.0,110.0,3288
2000-06-29,113.75,113.75,107.5,112.5,112.5,3381
2000-06-30,131.8800048828125,131.8800048828125,113.12999725341797,121.25,121.25,31154
2000-07-03,131.25,131.25,118.75,125.62999725341797,125.62999725341797,3735
2000-07-05,130.0,130.0,117.5,125.0,125.0,6457
2000-07-06,130.0,130.0,123.75,130.0,130.0,9080
2000-07-07,141.25,141.25,129.3800048828125,139.3800048828125,139.3800048828125,13135
2000-07-10,158.75,158.75,138.75,151.25,151.25,12464
2000-07-11,161.25,161.25,135.6300048828125,142.5,142.5,9788
2000-07-12,150.0,150.0,142.5,145.0,145.0,6226
2000-07-13,150.0,150.0,143.1300048828125,145.6300048828125,145.6300048828125,4477
2000-07-14,146.25,146.25,137.5,144.3800048828125,144.3800048828125,4076
2000-07-17,157.5,157.5,145.0,153.75,153.75,6996
2000-07-18,153.75,153.75,138.75,143.1300048828125,143.1300048828125,5651
2000-07-19,146.25,146.25,131.25,132.5,132.5,3518
2000-07-20,143.1300048828125,143.1300048828125,133.75,138.75,138.75,2166
2000-07-21,138.1300048828125,138.1300048828125,126.87999725341797,126.87999725341797,126.87999725341797,2086
2000-07-24,133.75,133.75,112.5,123.12999725341797,123.12999725341797,4150
2000-07-25,130.0,130.0,121.25,126.87999725341797,126.87999725341797,2455
2000-07-26,128.75,128.75,111.25,113.75,113.75,4238
2000-07-27,110.0,110.0,91.87999725341797,95.62999725341797,95.62999725341797,6956
2000-07-28,98.75,98.75,82.5,85.0,85.0,5341
2000-07-31,96.25,96.25,81.25,81.87999725341797,81.87999725341797,6578
2000-08-01,85.0,85.0,76.25,81.25,81.25,3578
2000-08-02,81.87999725341797,81.87999725341797,76.25,78.75,78.75,4812
2000-08-03,76.25,76.25,72.5,72.5,72.5,6083
2000-08-04,77.5,77.5,65.0,69.37999725341797,69.37999725341797,10671
2000-08-07,87.5,87.5,69.05999755859375,86.25,86.25,10922
2000-08-08,90.0,90.0,79.37999725341797,86.25,86.25,6185
2000-08-09,86.87999725341797,86.87999725341797,68.75,72.19000244140625,72.19000244140625,20776
2000-08-10,80.94000244140625,80.94000244140625,70.62999725341797,78.44000244140625,78.44000244140625,20069
2000-08-11,88.12999725341797,88.12999725341797,78.75,80.62999725341797,80.62999725341797,12243
2000-08-14,84.69000244140625,84.69000244140625,75.0,76.25,76.25,5552
2000-08-15,81.87999725341797,81.87999725341797,75.0,78.12999725341797,78.12999725341797,3396
2000-08-16,83.12999725341797,83.12999725341797,78.12999725341797,78.75,78.75,2692
2000-08-17,82.5,82.5,75.62999725341797,77.5,77.5,2245
2000-08-18,86.87999725341797,86.87999725341797,77.5,86.87999725341797,86.87999725341797,5806
2000-08-21,93.12999725341797,93.12999725341797,86.25,90.62999725341797,90.62999725341797,7390
2000-08-22,97.5,97.5,88.75,94.37999725341797,94.37999725341797,7201
2000-08-23,96.25,96.25,90.62999725341797,91.87999725341797,91.87999725341797,3208
2000-08-24,95.62999725341797,95.62999725341797,90.62999725341797,91.25,91.25,2991
2000-08-25,93.12999725341797,93.12999725341797,87.5,88.12999725341797,88.12999725341797,3375
2000-08-28,100.0,100.0,86.25,95.0,95.0,4337
2000-08-29,108.75,108.75,98.12999725341797,98.75,98.75,8583
2000-08-30,117.5,117.5,96.87999725341797,115.0,115.0,11840
2000-08-31,133.1300048828125,133.1300048828125,120.0,130.6300048828125,130.6300048828125,18366
2000-09-01,143.1300048828125,143.1300048828125,133.75,136.25,136.25,14096
2000-09-05,133.1300048828125,133.1300048828125,115.0,122.5,122.5,10346
2000-09-06,122.5,122.5,110.0,115.0,115.0,4942
2000-09-07,122.5,122.5,115.62999725341797,116.87999725341797,116.87999725341797,4105
2000-09-08,121.87999725341797,121.87999725341797,106.25,110.0,110.0,5083
2000-09-11,116.25,116.25,102.5,111.25,111.25,3916
2000-09-12,123.75,123.75,113.75,120.0,120.0,7787
2000-09-13,125.62999725341797,125.62999725341797,106.25,111.25,111.25,4933
2000-09-14,125.0,125.0,111.25,123.75,123.75,5819
2000-09-15,124.37999725341797,124.37999725341797,114.37999725341797,118.75,118.75,6118
2000-09-18,117.5,117.5,105.0,105.0,105.0,3369
2000-09-19,108.75,108.75,96.25,103.75,103.75,4712
2000-09-20,104.37999725341797,104.37999725341797,92.5,97.5,97.5,5332
2000-09-21,98.75,98.75,91.87999725341797,93.75,93.75,4983
2000-09-22,93.75,93.75,87.5,91.25,91.25,2904
2000-09-25,96.25,96.25,87.5,88.12999725341797,88.12999725341797,1926
2000-09-26,89.37999725341797,89.37999725341797,78.12999725341797,80.62999725341797,80.62999725341797,6938
2000-09-27,81.25,81.25,71.25,72.5,72.5,5383
2000-09-28,87.5,87.5,73.12999725341797,87.5,87.5,4358
2000-09-29,95.0,95.0,81.25,94.05999755859375,94.05999755859375,5110
2000-10-02,95.0,95.0,81.25,82.5,82.5,3076
2000-10-03,87.5,87.5,77.5,80.0,80.0,2414
2000-10-04,80.94000244140625,80.94000244140625,73.75,80.0,80.0,3276
2000-10-05,82.5,82.5,73.75,75.62999725341797,75.62999725341797,1836
2000-10-06,78.12999725341797,78.12999725341797,70.0,73.12999725341797,73.12999725341797,2520
2000-10-09,76.25,76.25,68.75,70.62999725341797,70.62999725341797,2885
2000-10-10,85.0,85.0,68.12999725341797,80.62999725341797,80.62999725341797,4154
2000-10-11,82.5,82.5,70.0,78.75,78.75,3669
2000-10-12,80.62999725341797,80.62999725341797,68.75,73.12999725341797,73.12999725341797,3118
2000-10-13,80.0,80.0,67.5,73.75,73.75,2204
2000-10-16,77.5,77.5,70.94000244140625,72.80999755859375,72.80999755859375,2368
2000-10-17,75.0,75.0,64.37999725341797,68.12999725341797,68.12999725341797,3647
2000-10-18,69.05999755859375,69.05999755859375,60.0,61.25,61.25,2401
2000-10-19,65.62999725341797,65.62999725341797,61.880001068115234,65.0,65.0,3229
2000-10-20,75.0,75.0,68.75,72.5,72.5,5198
2000-10-23,76.25,76.25,70.0,72.5,72.5,2108
2000-10-24,75.0,75.0,67.80999755859375,70.0,70.0,1556
2000-10-25,71.25,71.25,67.5,69.37999725341797,69.37999725341797,1361
2000-10-26,72.5,72.5,65.62999725341797,66.25,66.25,1948
2000-10-27,68.12999725341797,68.12999725341797,65.0,66.25,66.25,1502
2000-10-30,69.37999725341797,69.37999725341797,60.310001373291016,61.560001373291016,61.560001373291016,1749
2000-10-31,65.0,65.0,60.0,65.0,65.0,2259
2000-11-01,63.130001068115234,63.130001068115234,60.0,61.560001373291016,61.560001373291016,2520
2000-11-02,62.5,62.5,58.75,60.0,60.0,3297
2000-11-03,61.25,61.25,58.75,60.0,60.0,1286
2000-11-06,60.630001068115234,60.630001068115234,58.130001068115234,59.380001068115234,59.380001068115234,2112
2000-11-07,61.25,61.25,56.25,56.25,56.25,3542
2000-11-08,56.25,56.25,47.5,47.5,47.5,4939
2000-11-09,51.25,51.25,45.0,50.630001068115234,50.630001068115234,2208
2000-11-10,51.25,51.25,45.630001068115234,48.75,48.75,1294
2000-11-13,46.25,46.25,38.75,44.060001373291016,44.060001373291016,2447
2000-11-14,47.5,47.5,40.0,41.25,41.25,4549
2000-11-15,43.75,43.75,37.5,38.75,38.75,2984
2000-11-16,40.630001068115234,40.630001068115234,37.5,37.5,37.5,2139
2000-11-17,40.0,40.0,36.25,37.5,37.5,1706
2000-11-20,40.630001068115234,40.630001068115234,36.25,38.130001068115234,38.130001068115234,4739
2000-11-21,40.0,40.0,35.630001068115234,36.25,36.25,1979
2000-11-22,37.5,37.5,29.3799991607666,29.690000534057617,29.690000534057617,3342
2000-11-24,40.0,40.0,31.8799991607666,40.0,40.0,2491
2000-11-27,42.189998626708984,42.189998626708984,36.25,37.5,37.5,3384
2000-11-28,37.5,37.5,30.0,31.25,31.25,2367
2000-11-29,37.189998626708984,37.189998626708984,30.309999465942383,30.940000534057617,30.940000534057617,6544
2000-11-30,32.5,32.5,25.0,25.309999465942383,25.309999465942383,8452
2000-12-01,30.0,30.0,22.5,23.1299991607666,23.1299991607666,7831
2000-12-04,28.75,28.75,19.690000534057617,20.6299991607666,20.6299991607666,9204
2000-12-05,30.6299991607666,30.6299991607666,20.6299991607666,30.0,30.0,5881
2000-12-06,31.8799991607666,31.8799991607666,25.6299991607666,28.75,28.75,4637
2000-12-07,30.6299991607666,30.6299991607666,26.25,28.75,28.75,1994
2000-12-08,29.690000534057617,29.690000534057617,26.8799991607666,29.059999465942383,29.059999465942383,1783
2000-12-11,34.380001068115234,34.380001068115234,28.440000534057617,33.75,33.75,4326
2000-12-12,39.380001068115234,39.380001068115234,32.5,37.5,37.5,3521
2000-12-13,45.630001068115234,45.630001068115234,37.5,41.25,41.25,7189
2000-12-14,41.25,41.25,36.25,36.560001373291016,36.560001373291016,1927
2000-12-15,35.630001068115234,35.630001068115234,27.809999465942383,33.130001068115234,33.130001068115234,4158
2000-12-18,36.880001068115234,36.880001068115234,33.439998626708984,35.630001068115234,35.630001068115234,3355
2000-12-19,36.25,36.25,30.6299991607666,31.25,31.25,5622
2000-12-20,31.25,31.25,22.5,28.75,28.75,4967
2000-12-21,30.6299991607666,30.6299991607666,26.8799991607666,29.059999465942383,29.059999465942383,3594
2000-12-22,35.0,35.0,27.5,29.690000534057617,29.690000534057617,3562
2000-12-26,30.309999465942383,30.309999465942383,25.309999465942383,26.8799991607666,26.8799991607666,3611
2000-12-27,32.5,32.5,26.8799991607666,28.1299991607666,28.1299991607666,4748
2000-12-28,30.0,30.0,26.559999465942383,29.3799991607666,29.3799991607666,4309
2000-12-29,32.189998626708984,32.189998626708984,28.1299991607666,30.940000534057617,30.940000534057617,7953
2001-01-02,32.189998626708984,35.630001068115234,31.25,32.810001373291016,32.810001373291016,33440
2001-01-03,33.75,38.75,32.810001373291016,35.0,35.0,33620
2001-01-04,33.75,36.560001373291016,30.0,31.25,31.25,23860
2001-01-05,33.130001068115234,35.0,30.0,31.8799991607666,31.8799991607666,22840
2001-01-08,31.8799991607666,33.75,29.3799991607666,29.84000015258789,29.84000015258789,21290
2001-01-09,30.15999984741211,30.940000534057617,28.75,30.0,30.0,18780
2001-01-10,30.15999984741211,31.8799991607666,29.690000534057617,31.8799991607666,31.8799991607666,12790
2001-01-11,31.559999465942383,37.5,31.559999465942383,37.5,37.5,37030
2001-01-12,39.529998779296875,40.0,36.25,37.5,37.5,27250
