Date,Open,High,Low,Close,Adj Close,Volume
2006-01-19,,,,,,
2006-02-16,,,,,,
2006-03-21,,,,,,
2006-04-19,,,,,,
2006-05-17,,,,,,
2006-06-20,,,,,,
2006-07-19,,,,,,
2006-08-17,,,,,,
2006-09-20,,,,,,
2006-10-19,,,,,,
2006-12-15,,,,,,
2007-01-11,,,,,,
2007-02-13,,,,,,
2007-03-13,,,,,,
2007-04-12,,,,,,
2007-05-11,,,,,,
2007-06-13,,,,,,
2007-07-12,,,,,,
2007-08-13,,,,,,
2007-09-12,,,,,,
2007-10-11,,,,,,
2007-11-13,,,,,,
2007-12-11,,,,,,
2007-12-27,,,,,,
2008-02-13,,,,,,
2008-03-12,,,,,,
2008-04-11,,,,,,
2008-05-13,,,,,,
2008-06-12,,,,,,
2008-07-11,,,,,,
2008-08-13,,,,,,
2008-09-11,,,,,,
2008-10-10,,,,,,
2008-11-12,,,,,,
2008-12-11,,,,,,
2008-12-29,,,,,,
2009-01-02,16.68000030517578,17.0,16.440000534057617,16.90999984741211,9.072012901306152,74375.0
2009-01-05,16.979999542236328,17.100000381469727,16.18000030517578,16.31999969482422,8.755484580993652,83066.0
2009-01-06,16.329999923706055,16.75,16.209999084472656,16.639999389648438,8.927162170410156,77051.0
2009-01-07,16.719999313354492,16.719999313354492,16.25,16.250499725341797,8.718206405639648,31099.0
2009-01-08,16.200000762939453,16.459999084472656,16.200000762939453,16.3799991607666,8.787677764892578,37895.0
2009-01-09,16.5,16.920000076293945,16.260000228881836,16.799999237060547,9.012994766235352,53039.0
2009-01-12,16.940000534057617,16.940000534057617,16.579999923706055,16.719999313354492,8.970080375671387,42258.0
2009-01-13,16.600000381469727,17.100000381469727,16.479999542236328,16.700000762939453,8.95935344696045,30393.0
2009-01-14,16.600000381469727,16.735200881958008,16.299999237060547,16.43000030517578,8.814497947692871,50511.0
2009-01-15,16.309999465942383,16.899999618530273,16.309999465942383,16.84000015258789,9.03445816040039,36640.0
2009-01-16,16.829999923706055,17.0,16.790000915527344,17.0,9.120298385620117,34398.0
2009-01-20,17.0,17.0,16.68000030517578,16.899999618530273,9.066643714904785,23995.0
2009-01-21,17.0,17.0,16.81999969482422,16.93000030517578,9.082742691040039,30024.0
2009-01-22,17.0,17.0,16.709999084472656,16.940000534057617,9.088109016418457,44953.0
2009-01-23,16.940000534057617,16.984800338745117,16.653600692749023,16.959999084472656,9.09883975982666,51197.0
2009-01-26,16.8799991607666,16.950000762939453,16.540000915527344,16.90999984741211,9.072012901306152,59809.0
2009-01-27,16.860000610351562,16.979999542236328,16.719999313354492,16.920000076293945,9.07738208770752,32901.0
2009-01-28,16.81999969482422,17.09000015258789,16.809999465942383,16.959999084472656,9.09883975982666,51630.0
2009-01-29,16.899999618530273,17.239999771118164,16.84000015258789,16.940000534057617,9.088109016418457,50804.0
2009-01-30,17.09000015258789,17.09000015258789,16.790000915527344,17.040000915527344,9.14175796508789,35862.0
2009-02-02,16.899999618530273,17.290000915527344,16.899999618530273,17.249900817871094,9.254365921020508,33183.0
2009-02-03,17.239999771118164,17.43000030517578,17.110000610351562,17.149999618530273,9.200765609741211,28846.0
2009-02-04,17.149999618530273,17.209999084472656,16.75,16.959999084472656,9.09883975982666,26437.0
2009-02-05,17.100000381469727,17.100000381469727,16.850000381469727,16.969999313354492,9.104201316833496,31168.0
2009-02-06,17.190000534057617,17.239999771118164,17.09000015258789,17.190000534057617,9.222227096557617,42879.0
2009-02-09,17.34000015258789,17.3799991607666,17.110000610351562,17.290000915527344,9.27587890625,57499.0
2009-02-10,17.139999389648438,17.350000381469727,17.07040023803711,17.260000228881836,9.259784698486328,50037.0
2009-02-11,17.100000381469727,17.639999389648438,17.100000381469727,17.600000381469727,9.499985694885254,59105.0
2009-02-12,17.600000381469727,17.940000534057617,17.540000915527344,17.649999618530273,9.52697467803955,50152.0
2009-02-13,17.670000076293945,17.670000076293945,17.309999465942383,17.469999313354492,9.42980670928955,32935.0
2009-02-17,17.700000762939453,17.709999084472656,17.290000915527344,17.709999084472656,9.559355735778809,56519.0
2009-02-18,17.600000381469727,17.6299991607666,17.079999923706055,17.299999237060547,9.338054656982422,48117.0
2009-02-19,17.709999084472656,17.889999389648438,17.09000015258789,17.219999313354492,9.294867515563965,52758.0
