Date,Open,High,Low,Close,Adj Close,Volume
2000-06-14,,,,,,
2000-09-13,,,,,,
2000-12-13,,,,,,
2001-03-14,,,,,,
2001-06-13,,,,,,
2001-12-12,,,,,,
2002-03-13,,,,,,
2002-06-12,,,,,,
2002-09-12,,,,,,
2002-12-10,,,,,,
2003-03-13,,,,,,
2003-06-12,,,,,,
2003-09-12,,,,,,
2003-12-12,,,,,,
2004-03-15,,,,,,
2004-06-14,,,,,,
2004-09-14,,,,,,
2004-12-14,,,,,,
2005-03-14,,,,,,
2005-06-14,,,,,,
2005-09-14,,,,,,
2005-12-13,,,,,,
2006-03-15,,,,,,
2006-06-14,,,,,,
2006-09-13,,,,,,
2006-12-11,,,,,,
2007-03-14,,,,,,
2007-06-13,,,,,,
2007-09-12,,,,,,
2007-12-10,,,,,,
2008-03-13,,,,,,
2008-06-12,,,,,,
2008-09-12,,,,,,
2008-12-10,,,,,,
2009-01-02,5.630000114440918,5.800000190734863,5.510000228881836,5.783599853515625,1.91028892993927,26762.0
2009-01-05,5.78000020980835,6.230000019073486,5.78000020980835,6.099999904632568,2.014793872833252,32920.0
2009-01-06,6.099999904632568,6.320000171661377,5.909999847412109,6.170000076293945,2.0379135608673096,55857.0
2009-01-07,6.349999904632568,6.75,6.0,6.75,2.2294843196868896,76514.0
2009-01-08,6.699999809265137,6.880000114440918,6.659999847412109,6.800000190734863,2.2459988594055176,16422.0
2009-01-09,6.880000114440918,6.929999828338623,6.230000019073486,6.5,2.146911859512329,45607.0
2009-01-12,6.639999866485596,6.730000019073486,6.010000228881836,6.010000228881836,1.9850668907165527,21760.0
2009-01-13,6.079999923706055,6.372000217437744,5.849999904632568,6.059999942779541,2.0015814304351807,19405.0
2009-01-14,6.050000190734863,6.369999885559082,5.690000057220459,6.199999809265137,2.0478222370147705,32553.0
2009-01-15,6.25,6.460000038146973,5.599999904632568,6.239999771118164,2.0610344409942627,33785.0
2009-01-16,6.429999828338623,6.46999979019165,6.059999942779541,6.099999904632568,2.014793872833252,35929.0
2009-01-20,6.170000076293945,6.300000190734863,5.860000133514404,6.130000114440918,2.0247020721435547,22956.0
2009-01-21,6.300000190734863,6.619999885559082,5.920000076293945,6.599999904632568,2.1799402236938477,29543.0
2009-01-22,6.599999904632568,6.699999809265137,6.150000095367432,6.340000152587891,2.0940632820129395,30658.0
2009-01-23,6.340000152587891,6.599999904632568,5.949999809265137,6.349999904632568,2.0973668098449707,25411.0
2009-01-26,6.579999923706055,6.579999923706055,6.0,6.25,2.0643374919891357,21951.0
2009-01-27,6.170000076293945,6.499899864196777,5.860000133514404,5.860000133514404,1.935523271560669,26570.0
2009-01-28,6.0,6.0,5.599999904632568,5.710000038146973,1.8859789371490479,44266.0
2009-01-29,5.699999809265137,5.889999866485596,5.579999923706055,5.8379998207092285,1.9282562732696533,48937.0
2009-01-30,5.849999904632568,5.849999904632568,5.519999980926514,5.570000171661377,1.8397377729415894,11787.0
2009-02-02,5.550000190734863,5.599999904632568,5.5,5.5,1.816617488861084,17017.0
2009-02-03,5.539999961853027,5.909999847412109,5.429999828338623,5.760000228881836,1.9024931192398071,25230.0
2009-02-04,5.800000190734863,6.098800182342529,5.75,5.75,1.8991905450820923,16979.0
2009-02-05,5.650000095367432,6.260000228881836,5.630000114440918,6.070000171661377,2.004884719848633,26551.0
2009-02-06,6.25,6.289999961853027,5.458399772644043,5.730000019073486,1.8925844430923462,19463.0
2009-02-09,5.610000133514404,6.070000171661377,5.610000133514404,5.829999923706055,1.9256134033203125,23300.0
2009-02-10,5.829999923706055,6.230000019073486,5.599999904632568,5.789999961853027,1.9124021530151367,21385.0
2009-02-11,5.699999809265137,5.979899883270264,5.510000228881836,5.800000190734863,1.9157055616378784,14249.0
2009-02-12,5.699999809265137,5.789999961853027,5.610000133514404,5.769999980926514,1.9057962894439697,7341.0
2009-02-13,5.800000190734863,6.300000190734863,5.619999885559082,6.300000190734863,2.0808520317077637,50391.0
2009-02-17,6.150000095367432,6.260000228881836,5.758399963378906,5.96999979019165,1.9718550443649292,13066.0
2009-02-18,5.96999979019165,6.117199897766113,5.75,5.949999809265137,1.9652488231658936,7938.0
2009-02-19,5.880000114440918,6.159999847412109,5.519999980926514,5.559999942779541,1.8364343643188477,15614.0
2009-02-20,5.53000020980835,5.53000020980835,4.949999809265137,5.23199987411499,1.7280982732772827,41136.0
2009-02-23,5.300000190734863,5.300000190734863,4.949999809265137,4.96999979019165,1.6415607929229736,37416.0
2009-02-24,5.0,5.389999866485596,4.949999809265137,5.329999923706055,1.7604668140411377,37853.0
2009-02-25,5.389999866485596,5.400000095367432,5.019999980926514,5.300000190734863,1.750558853149414,16402.0
2009-02-26,5.380000114440918,5.980000019073486,5.244999885559082,5.46999979019165,1.8067083358764648,22885.0
2009-02-27,5.269999980926514,5.920000076293945,5.070000171661377,5.650000095367432,1.8661613464355469,65270.0
2009-03-02,5.400000095367432,5.400000095367432,4.949999809265137,4.949999809265137,1.6349550485610962,39273.0
2009-03-03,4.650000095367432,4.699999809265137,4.260000228881836,4.420000076293945,1.4598995447158813,55618.0
2009-03-04,4.650000095367432,5.0,4.389999866485596,4.840000152587891,1.5986229181289673,47237.0
2009-03-05,4.659999847412109,4.929999828338623,4.210000038146973,4.21999979019165,1.3938404321670532,32516.0
2009-03-06,4.400000095367432,4.400000095367432,4.070000171661377,4.119999885559082,1.3608115911483765,48395.0
2009-03-09,3.759999990463257,4.150000095367432,3.7500998973846436,3.9400999546051025,1.301391363143921,45264.0
2009-03-10,3.890000104904175,4.199999809265137,3.5899999141693115,4.050000190734863,1.3376903533935547,45915.0
2009-03-11,4.050000190734863,4.570000171661377,4.019999980926514,4.25,1.4037494659423828,46566.0
2009-03-12,4.210000038146973,4.650000095367432,4.130000114440918,4.650000095367432,1.5358673334121704,22289.0
2009-03-13,4.650000095367432,4.650000095367432,4.239999771118164,4.429999828338623,1.4953609704971313,21855.0
2009-03-16,4.420000076293945,4.570000171661377,4.150000095367432,4.539999961853027,1.5324914455413818,13655.0
2009-03-17,4.449999809265137,4.550099849700928,4.449999809265137,4.539999961853027,1.5324914455413818,12025.0
2009-03-18,4.543600082397461,4.650000095367432,4.489999771118164,4.599999904632568,1.5527446269989014,18852.0
2009-03-19,4.809999942779541,4.900000095367432,4.599999904632568,4.769999980926514,1.6101287603378296,27072.0
2009-03-20,4.699999809265137,4.900000095367432,4.489999771118164,4.489999771118164,1.5156136751174927,29355.0
2009-03-23,4.699999809265137,5.599999904632568,4.53000020980835,5.599999904632568,1.890297770500183,52231.0
2009-03-24,5.380000114440918,5.420000076293945,4.730000019073486,5.199999809265137,1.7552767992019653,26708.0
2009-03-25,5.050000190734863,5.380000114440918,4.989999771118164,5.099999904632568,1.721521019935608,14984.0
2009-03-26,5.260000228881836,5.679999828338623,4.863399982452393,5.349999904632568,1.805909514427185,53331.0
2009-03-27,5.489999771118164,5.679999828338623,5.130000114440918,5.570000171661377,1.880171298980713,26572.0
2009-03-30,5.309999942779541,5.309999942779541,5.019999980926514,5.110000133514404,1.7248969078063965,10234.0
2009-03-31,5.090000152587891,5.489999771118164,4.659999847412109,5.291600227355957,1.786196231842041,37500.0
2009-04-01,5.119999885559082,5.239999771118164,4.71999979019165,5.179999828338623,1.7485250234603882,15600.0
2009-04-02,5.170000076293945,5.28000020980835,4.690000057220459,4.699999809265137,1.5864996910095215,34469.0
2009-04-03,4.800000190734863,4.940000057220459,4.760000228881836,4.809999942779541,1.6236307621002197,6801.0
2009-04-06,4.809999942779541,5.179999828338623,4.809999942779541,4.96999979019165,1.6776388883590698,11393.0
2009-04-07,4.96999979019165,5.0696001052856445,4.949999809265137,5.050000190734863,1.7046431303024292,4900.0
2009-04-08,5.199999809265137,5.519999980926514,5.039999961853027,5.139999866485596,1.7350237369537354,11716.0
2009-04-09,5.230000019073486,5.420000076293945,4.920000076293945,5.019999980926514,1.6945171356201172,14061.0
2009-04-13,4.829999923706055,5.130000114440918,4.650000095367432,4.840000152587891,1.633757472038269,35865.0
2009-04-14,4.739999771118164,4.940000057220459,4.599999904632568,4.599999904632568,1.5527446269989014,39375.0
