Date,Open,High,Low,Close,Adj Close,Volume
2005-07-01,,,,,,
2005-08-01,,,,,,
2005-09-01,,,,,,
2005-10-03,,,,,,
2005-11-01,,,,,,
2005-12-01,,,,,,
2006-02-01,,,,,,
2006-03-01,,,,,,
2006-04-03,,,,,,
2006-05-01,,,,,,
2006-06-01,,,,,,
2006-07-03,,,,,,
2006-08-01,,,,,,
2006-09-01,,,,,,
2006-10-02,,,,,,
2006-11-01,,,,,,
2006-12-01,,,,,,
2006-12-27,,,,,,
2007-02-01,,,,,,
2007-03-01,,,,,,
2007-04-02,,,,,,
2007-05-01,,,,,,
2007-06-01,,,,,,
2007-07-02,,,,,,
2007-08-01,,,,,,
2007-09-04,,,,,,
2007-10-01,,,,,,
2007-11-01,,,,,,
2007-12-03,,,,,,
2007-12-27,,,,,,
2008-02-01,,,,,,
2008-03-03,,,,,,
2008-04-01,,,,,,
2008-05-01,,,,,,
2008-06-02,,,,,,
2008-07-01,,,,,,
2008-08-01,,,,,,
2008-09-02,,,,,,
2008-10-01,,,,,,
2008-11-03,,,,,,
2008-12-01,,,,,,
2008-12-29,,,,,,
2009-01-02,9.850000381469727,10.1899995803833,9.850000381469727,10.1899995803833,2.941908121109009,393048.0
2009-01-05,10.239999771118164,10.329999923706055,10.029999732971191,10.3100004196167,2.9765512943267822,424534.0
2009-01-06,10.399999618530273,10.569999694824219,10.300000190734863,10.539999961853027,3.0429532527923584,468875.0
2009-01-07,10.449999809265137,10.449999809265137,10.069999694824219,10.279999732971191,2.9678897857666016,407945.0
2009-01-08,10.170000076293945,10.369999885559082,10.029999732971191,10.3100004196167,2.9765512943267822,239042.0
2009-01-09,10.420000076293945,10.420000076293945,10.109999656677246,10.140000343322754,2.9274725914001465,260708.0
2009-01-12,10.100000381469727,10.119999885559082,9.800000190734863,9.949999809265137,2.872616767883301,339052.0
2009-01-13,9.789999961853027,9.949999809265137,9.779999732971191,9.930000305175781,2.8668439388275146,264086.0
2009-01-14,9.869999885559082,9.869999885559082,9.449999809265137,9.600000381469727,2.7715704441070557,306729.0
2009-01-15,9.6899995803833,9.6899995803833,9.1899995803833,9.609999656677246,2.7744579315185547,447708.0
2009-01-16,9.720000267028809,9.850000381469727,9.630000114440918,9.84000015258789,2.84086012840271,324861.0
2009-01-20,9.84000015258789,9.84000015258789,9.25,9.300000190734863,2.6849591732025146,372521.0
2009-01-21,9.390000343322754,9.8100004196167,9.289899826049805,9.800000190734863,2.8293116092681885,328269.0
2009-01-22,9.710000038146973,9.800000190734863,9.503399848937988,9.640000343322754,2.783118963241577,567309.0
2009-01-23,9.5,9.6899995803833,9.260000228881836,9.59000015258789,2.7686831951141357,426453.0
2009-01-26,9.720000267028809,9.829999923706055,9.59000015258789,9.600000381469727,2.7715704441070557,259427.0
2009-01-27,9.75,9.75,9.4399995803833,9.739999771118164,2.8119888305664062,387463.0
2009-01-28,10.0,10.270000457763672,9.829999923706055,10.09000015258789,2.913036346435547,279459.0
