Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,201.875,210.0,200.0,210.0,163.57894897460938,13775
2000-01-03,207.5,210.0,202.5,210.0,163.57894897460938,18380
2000-01-04,213.75,220.0,208.75,210.0,163.57894897460938,13410
2000-01-05,207.5,211.25,205.0,208.75,162.60525512695312,16685
2000-01-06,208.75,215.0,207.5,212.5,165.52630615234375,9610
2000-01-07,212.5,215.0,211.25,212.5,165.52630615234375,12710
2000-01-10,210.0,215.0,210.0,215.0,167.4736785888672,8455
2000-01-11,213.75,215.0,210.0,212.5,165.52630615234375,4910
2000-01-12,210.0,217.5,210.0,213.75,166.5,6290
2000-01-13,216.25,225.0,216.25,223.75,174.2894744873047,13375
2000-01-14,224.375,226.25,222.5,225.0,175.26315307617188,10130
2000-01-18,225.625,226.25,217.5,222.5,173.3157958984375,17085
2000-01-19,225.0,225.0,222.5,225.0,175.26315307617188,17865
2000-01-20,221.25,224.375,221.25,222.5,173.3157958984375,9470
2000-01-21,225.625,226.25,206.25,208.75,162.60525512695312,13370
2000-01-24,207.5,208.75,200.0,203.75,158.7105255126953,11690
2000-01-25,205.0,208.75,205.0,207.5,161.63157653808594,3030
2000-01-26,207.5,221.25,207.5,210.0,163.57894897460938,6625
2000-01-27,210.0,210.0,200.0,200.0,155.7894744873047,8865
2000-01-28,200.0,206.25,200.0,202.5,157.73683166503906,6830
2000-01-31,203.75,205.0,185.0,185.0,144.10525512695312,6845
2000-02-01,187.5,196.25,185.0,195.0,151.8947296142578,18060
2000-02-02,194.375,196.25,188.125,190.0,148.0,6230
2000-02-03,189.375,192.5,189.375,190.0,148.0,186425
2000-02-04,192.5,195.0,190.0,193.125,150.43421936035156,3860
2000-02-07,192.5,193.75,192.5,192.5,149.94737243652344,6355
2000-02-08,192.5,202.5,192.5,198.75,154.8157958984375,13895
2000-02-09,197.5,207.5,197.5,201.25,156.76315307617188,7130
2000-02-10,205.0,216.25,201.25,211.25,164.55264282226562,7460
2000-02-11,210.0,217.5,205.0,212.5,165.52630615234375,19350
2000-02-14,211.875,213.75,210.0,212.5,165.52630615234375,6570
2000-02-15,210.0,213.75,210.0,212.5,165.52630615234375,3520
2000-02-16,208.75,213.75,208.75,212.5,165.52630615234375,4230
2000-02-17,211.25,213.75,210.0,213.125,166.01315307617188,8510
2000-02-18,212.5,215.0,210.0,212.5,165.52630615234375,8725
2000-02-22,212.5,213.75,202.5,202.5,157.73683166503906,19335
2000-02-23,203.125,206.25,200.0,205.0,159.68421936035156,9155
2000-02-24,201.25,215.0,201.25,211.25,164.55264282226562,9930
2000-02-25,207.5,215.0,207.5,213.75,166.5,10185
2000-02-28,205.0,212.5,203.75,208.75,162.60525512695312,11240
2000-02-29,206.25,212.5,206.25,212.5,165.52630615234375,7700
2000-03-01,211.25,213.75,207.5,210.0,163.57894897460938,5330
2000-03-02,209.375,211.25,207.5,210.0,163.57894897460938,7655
2000-03-03,208.75,210.0,206.25,206.25,160.6578826904297,5395
2000-03-06,208.75,211.25,200.0,207.5,161.63157653808594,4390
2000-03-07,207.5,210.0,201.25,202.5,157.73683166503906,56955
2000-03-08,200.625,208.75,200.0,207.5,161.63157653808594,13540
2000-03-09,202.5,210.0,202.5,206.25,160.6578826904297,9960
2000-03-10,208.125,210.0,206.25,207.5,161.63157653808594,9090
2000-03-13,207.5,208.75,207.5,208.75,162.60525512695312,3190
2000-03-14,208.75,208.75,202.5,205.0,159.68421936035156,22790
2000-03-15,207.5,211.25,203.75,208.75,162.60525512695312,10330
2000-03-16,206.25,210.0,201.25,208.75,162.60525512695312,9320
2000-03-17,206.25,212.5,206.25,210.0,163.57894897460938,3570
2000-03-20,208.75,210.0,206.25,208.75,162.60525512695312,2075
2000-03-21,206.25,210.0,187.5,201.25,156.76315307617188,18715
2000-03-22,200.0,207.5,200.0,205.0,159.68421936035156,53250
2000-03-23,205.0,210.0,205.0,208.75,162.60525512695312,7860
2000-03-24,208.125,210.0,205.0,207.5,161.63157653808594,6815
2000-03-27,206.25,210.0,206.25,207.5,161.63157653808594,31865
2000-03-28,207.5,210.0,200.0,202.5,157.73683166503906,24815
2000-03-29,201.25,202.5,197.5,200.3125,156.03289794921875,36095
2000-03-30,202.5,207.5,201.25,206.25,160.6578826904297,22370
2000-03-31,201.25,208.75,195.0,200.0,155.7894744873047,12935
2000-04-03,197.5,202.5,197.5,201.25,156.76315307617188,5675
2000-04-04,201.25,202.5,193.75,193.75,150.92105102539062,23665
2000-04-05,197.5,200.0,193.75,197.5,153.84210205078125,6635
2000-04-06,197.5,202.5,197.5,200.0,155.7894744873047,5715
2000-04-07,200.3125,201.25,200.0,200.0,155.7894744873047,13150
2000-04-10,200.0,202.5,200.0,200.0,155.7894744873047,10555
2000-04-11,200.0,201.25,198.75,198.75,154.8157958984375,2710
2000-04-12,200.0,203.4375,200.0,200.0,155.7894744873047,25395
2000-04-13,200.0,203.75,200.0,202.5,157.73683166503906,37555
2000-04-14,202.5,203.75,195.0,195.3125,152.13815307617188,4990
2000-04-17,192.5,198.75,191.25,196.25,152.86842346191406,46075
2000-04-18,192.5,196.25,190.0,190.0,148.0,1430
2000-04-19,195.0,196.25,188.75,196.25,152.86842346191406,3195
2000-04-20,193.75,194.375,188.75,193.4375,150.67762756347656,2650
2000-04-24,193.75,195.0,185.0,187.5,146.05262756347656,5285
2000-04-25,193.75,195.0,188.75,191.25,148.9736785888672,18510
