Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,7.5,7.75,7.0,7.5,7.5,50800
2000-01-03,7.813000202178955,8.0,7.468999862670898,7.813000202178955,7.813000202178955,44600
2000-01-04,7.688000202178955,7.938000202178955,7.5,7.688000202178955,7.688000202178955,29600
2000-01-05,7.688000202178955,7.875,7.468999862670898,7.688000202178955,7.688000202178955,21700
2000-01-06,7.5,7.75,7.313000202178955,7.5,7.5,41000
2000-01-07,7.875,7.875,7.188000202178955,7.875,7.875,47200
2000-01-10,7.75,7.875,7.75,7.75,7.75,30400
2000-01-11,7.75,7.875,7.563000202178955,7.75,7.75,24500
2000-01-12,7.75,7.875,7.313000202178955,7.75,7.75,14100
2000-01-13,7.375,7.75,7.063000202178955,7.375,7.375,19500
2000-01-14,7.438000202178955,7.438000202178955,7.063000202178955,7.438000202178955,7.438000202178955,24000
2000-01-18,7.625,7.75,7.125,7.625,7.625,16700
2000-01-19,8.062999725341797,8.312999725341797,7.688000202178955,8.062999725341797,8.062999725341797,136700
2000-01-20,9.937999725341797,11.0,8.0,9.937999725341797,9.937999725341797,660400
2000-01-21,11.125,11.625,10.25,11.125,11.125,620700
2000-01-24,11.812999725341797,12.125,11.375,11.812999725341797,11.812999725341797,457400
2000-01-25,11.0,12.312999725341797,10.187999725341797,11.0,11.0,481100
2000-01-26,11.312999725341797,11.875,11.0,11.312999725341797,11.312999725341797,376800
2000-01-27,12.062999725341797,12.062999725341797,10.937999725341797,12.062999725341797,12.062999725341797,620100
2000-01-28,14.687999725341797,15.25,12.125,14.687999725341797,14.687999725341797,1038900
2000-01-31,14.0,15.812999725341797,12.875,14.0,14.0,871900
2000-02-01,12.062999725341797,14.187999725341797,11.937999725341797,12.062999725341797,12.062999725341797,354300
2000-02-02,12.375,13.0,11.375,12.375,12.375,266000
2000-02-03,12.25,13.187999725341797,12.062999725341797,12.25,12.25,255700
2000-02-04,12.0,12.25,11.625,12.0,12.0,263900
2000-02-07,11.031000137329102,12.125,10.625,11.031000137329102,11.031000137329102,432700
2000-02-08,12.062999725341797,12.062999725341797,11.312999725341797,12.062999725341797,12.062999725341797,234300
2000-02-09,13.187999725341797,13.187999725341797,12.25,13.187999725341797,13.187999725341797,514300
2000-02-10,13.0,13.375,12.625,13.0,13.0,198000
2000-02-11,14.5,14.625,13.0,14.5,14.5,464900
2000-02-14,13.875,14.875,13.375,13.875,13.875,556400
2000-02-15,13.562999725341797,15.437999725341797,13.312999725341797,13.562999725341797,13.562999725341797,1154300
2000-02-16,13.375,13.625,12.562999725341797,13.375,13.375,646300
2000-02-17,17.0,17.375,13.437999725341797,17.0,17.0,1944000
2000-02-18,17.5,19.0,17.0,17.5,17.5,1124600
2000-02-22,15.812999725341797,18.5,15.562999725341797,15.812999725341797,15.812999725341797,735100
2000-02-23,15.625,16.75,15.375,15.625,15.625,340000
2000-02-24,15.375,16.437999725341797,15.125,15.375,15.375,262200
2000-02-25,15.312999725341797,16.562999725341797,15.25,15.312999725341797,15.312999725341797,388100
2000-02-28,16.375,16.437999725341797,14.687999725341797,16.375,16.375,376800
2000-02-29,16.625,17.25,16.25,16.625,16.625,491900
2000-03-01,15.312999725341797,16.5,15.312999725341797,15.312999725341797,15.312999725341797,409800
2000-03-02,16.187999725341797,17.125,14.937999725341797,16.187999725341797,16.187999725341797,706200
2000-03-03,15.875,16.5,15.5,15.875,15.875,340400
2000-03-06,15.687999725341797,16.25,15.375,15.687999725341797,15.687999725341797,294200
2000-03-07,14.5,16.0939998626709,13.312999725341797,14.5,14.5,328400
2000-03-08,14.375,15.25,13.5,14.375,14.375,216500
2000-03-09,14.0,14.75,13.75,14.0,14.0,205100
2000-03-10,12.937999725341797,14.5,12.937999725341797,12.937999725341797,12.937999725341797,243400
2000-03-13,12.375,13.25,11.375,12.375,12.375,267300
2000-03-14,11.875,13.75,11.375,11.875,11.875,250800
2000-03-15,11.25,12.375,10.062999725341797,11.25,11.25,272200
2000-03-16,11.062999725341797,11.625,10.312999725341797,11.062999725341797,11.062999725341797,228300
2000-03-17,10.625,11.625,10.375,10.625,10.625,215200
2000-03-20,9.75,10.625,9.5,9.75,9.75,275800
2000-03-21,9.75,9.75,9.0,9.75,9.75,535500
2000-03-22,11.375,11.5,9.5,11.375,11.375,274400
2000-03-23,11.125,12.0,10.687999725341797,11.125,11.125,95900
2000-03-24,10.5,11.25,9.75,10.5,10.5,180400
2000-03-27,9.937999725341797,11.0,9.75,9.937999725341797,9.937999725341797,72700
2000-03-28,10.0,10.125,9.625,10.0,10.0,101700
2000-03-29,9.5,10.0,9.375,9.5,9.5,104000
2000-03-30,9.25,9.625,9.062999725341797,9.25,9.25,455400
2000-03-31,10.312999725341797,10.312999725341797,9.125,10.312999725341797,10.312999725341797,181000
2000-04-03,9.937999725341797,10.5,9.375,9.937999725341797,9.937999725341797,73300
2000-04-04,10.0,12.5,9.5,10.0,10.0,271900
2000-04-05,10.062999725341797,10.125,9.531000137329102,10.062999725341797,10.062999725341797,103600
