Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,8.25,8.25,7.875,7.9679999351501465,7.9679999351501465,3100
2000-01-03,8.125,8.125,7.0,7.125,7.125,32600
2000-01-04,6.875,6.875,6.5,6.625,6.625,55200
2000-01-05,7.625,7.625,6.936999797821045,7.375,7.375,19900
2000-01-06,8.187000274658203,8.187000274658203,7.686999797821045,8.0,8.0,6900
2000-01-07,8.875,8.875,7.875,8.25,8.25,14100
2000-01-10,9.0,9.0,8.5,8.937000274658203,8.937000274658203,97300
2000-01-11,9.375,9.375,8.875,8.875,8.875,26900
2000-01-12,9.687000274658203,9.687000274658203,9.0,9.625,9.625,8000
2000-01-13,9.875,9.875,9.125,9.562000274658203,9.562000274658203,12700
2000-01-14,10.0,10.0,8.593000411987305,8.937000274658203,8.937000274658203,30000
2000-01-18,9.5,9.5,8.75,9.437000274658203,9.437000274658203,19500
2000-01-19,9.625,9.625,9.125,9.5,9.5,34100
2000-01-20,10.062000274658203,10.062000274658203,9.5,9.937000274658203,9.937000274658203,31900
2000-01-21,12.062000274658203,12.062000274658203,9.937000274658203,11.625,11.625,39500
2000-01-24,16.25,16.25,12.031000137329102,14.437000274658203,14.437000274658203,30100
2000-01-25,15.0,15.0,12.625,12.875,12.875,14100
2000-01-26,13.562000274658203,13.562000274658203,11.375,11.75,11.75,13500
2000-01-27,12.625,12.625,11.187000274658203,11.25,11.25,5500
2000-01-28,12.562000274658203,12.562000274658203,11.25,11.625,11.625,11900
2000-01-31,12.5,12.5,11.625,12.5,12.5,20700
2000-02-01,13.25,13.25,12.375,13.25,13.25,52700
2000-02-02,14.812000274658203,14.812000274658203,13.375,14.812000274658203,14.812000274658203,2000
2000-02-03,15.125,15.125,14.125,14.375,14.375,8000
2000-02-04,15.562000274658203,15.562000274658203,14.718000411987305,14.875,14.875,11100
2000-02-07,16.0,16.0,13.375,13.375,13.375,6300
2000-02-08,15.25,15.25,14.125,14.25,14.25,11900
2000-02-09,15.125,15.125,14.062000274658203,14.25,14.25,18900
2000-02-10,15.125,15.125,14.5,14.875,14.875,4800
