Date,Open,High,Low,Close,Adj Close,Volume
2000-02-17,,,,,,
2000-03-16,,,,,,
2000-04-18,,,,,,
2000-05-18,,,,,,
2000-06-16,,,,,,
2000-07-18,,,,,,
2000-08-17,,,,,,
2000-09-18,,,,,,
2000-10-18,,,,,,
2000-11-16,,,,,,
2000-12-18,,,,,,
2001-01-18,,,,,,
2001-02-15,,,,,,
2001-03-16,,,,,,
2001-04-18,,,,,,
2001-05-17,,,,,,
2001-06-18,,,,,,
2001-07-18,,,,,,
2001-08-16,,,,,,
2001-09-18,,,,,,
2001-10-18,,,,,,
2001-11-16,,,,,,
2001-12-18,,,,,,
2002-01-17,,,,,,
2002-02-15,,,,,,
2002-03-18,,,,,,
2002-04-18,,,,,,
2002-05-16,,,,,,
2002-06-18,,,,,,
2002-07-18,,,,,,
2002-08-16,,,,,,
2002-09-18,,,,,,
2002-10-17,,,,,,
2002-11-18,,,,,,
2002-12-18,,,,,,
2003-01-16,,,,,,
2003-02-20,,,,,,
2003-03-20,,,,,,
2003-04-22,,,,,,
2003-05-21,,,,,,
2003-06-20,,,,,,
2003-07-22,,,,,,
2003-08-20,,,,,,
2003-09-22,,,,,,
2003-10-22,,,,,,
2003-11-20,,,,,,
2003-12-22,,,,,,
2004-01-21,,,,,,
2004-02-20,,,,,,
2004-03-22,,,,,,
2004-04-21,,,,,,
2004-05-20,,,,,,
2004-06-22,,,,,,
2004-07-21,,,,,,
2004-08-20,,,,,,
2004-09-22,,,,,,
2004-10-20,,,,,,
2004-11-22,,,,,,
2004-12-21,,,,,,
2005-01-20,,,,,,
2005-02-18,,,,,,
2005-03-22,,,,,,
2005-04-20,,,,,,
2005-05-20,,,,,,
2005-06-22,,,,,,
2005-07-20,,,,,,
2005-08-22,,,,,,
2005-09-21,,,,,,
2005-10-20,,,,,,
2005-11-21,,,,,,
2005-12-20,,,,,,
2006-01-20,,,,,,
2006-02-16,,,,,,
2006-03-22,,,,,,
2006-04-20,,,,,,
2006-05-22,,,,,,
2006-06-21,,,,,,
2006-07-20,,,,,,
2006-08-21,,,,,,
2006-09-20,,,,,,
2006-10-20,,,,,,
2006-11-21,,,,,,
2006-12-20,,,,,,
2007-01-22,,,,,,
2007-02-16,,,,,,
2007-03-21,,,,,,
2007-04-20,,,,,,
2007-05-22,,,,,,
2007-06-20,,,,,,
2007-07-20,,,,,,
2007-08-22,,,,,,
2007-09-20,,,,,,
2007-10-22,,,,,,
2007-11-20,,,,,,
2007-12-19,,,,,,
2008-01-22,,,,,,
2008-02-20,,,,,,
2008-03-19,,,,,,
2008-04-22,,,,,,
2008-05-21,,,,,,
2008-06-20,,,,,,
2008-07-22,,,,,,
2008-08-20,,,,,,
2008-09-22,,,,,,
2008-10-22,,,,,,
2008-11-20,,,,,,
2008-12-19,,,,,,
2009-01-02,4.550000190734863,4.550000190734863,4.079999923706055,4.159999847412109,1.5470410585403442,144281.0
2009-01-05,4.159999847412109,4.25,4.139999866485596,4.179999828338623,1.5544785261154175,161052.0
2009-01-06,4.139999866485596,4.369999885559082,4.139999866485596,4.369999885559082,1.6251368522644043,332415.0
2009-01-07,4.340000152587891,4.389999866485596,4.25,4.389999866485596,1.6325753927230835,313334.0
2009-01-08,4.360000133514404,4.449999809265137,4.210000038146973,4.449999809265137,1.6548861265182495,238161.0
2009-01-09,4.599999904632568,4.599999904632568,4.25,4.389999866485596,1.6325753927230835,183136.0
2009-01-12,4.360000133514404,4.449999809265137,4.320000171661377,4.370100021362305,1.6251733303070068,172329.0
2009-01-13,4.349999904632568,4.519999980926514,4.349999904632568,4.390100002288818,1.632612705230713,265560.0
2009-01-14,4.369999885559082,4.579999923706055,4.340000152587891,4.340000152587891,1.613979458808899,300582.0
