Date,Open,High,Low,Close,Adj Close,Volume
2002-05-13,,,,,,
2002-06-12,,,,,,
2002-07-11,,,,,,
2002-08-13,,,,,,
2002-09-11,,,,,,
2002-10-10,,,,,,
2002-11-13,,,,,,
2002-12-11,,,,,,
2003-01-13,,,,,,
2003-02-12,,,,,,
2003-03-12,,,,,,
2003-04-11,,,,,,
2003-05-13,,,,,,
2003-06-11,,,,,,
2003-07-11,,,,,,
2003-08-13,,,,,,
2003-09-11,,,,,,
2003-10-10,,,,,,
2003-11-12,,,,,,
2003-12-11,,,,,,
2003-12-17,,,,,,
2004-01-13,,,,,,
2004-02-11,,,,,,
2004-03-11,,,,,,
2004-04-13,,,,,,
2004-05-12,,,,,,
2004-06-14,,,,,,
2004-07-13,,,,,,
2004-08-11,,,,,,
2004-09-13,,,,,,
2004-10-13,,,,,,
2004-11-10,,,,,,
2004-12-13,,,,,,
2004-12-22,,,,,,
2005-01-12,,,,,,
2005-02-11,,,,,,
2005-03-11,,,,,,
2005-04-13,,,,,,
2005-05-11,,,,,,
2005-06-13,,,,,,
2005-07-13,,,,,,
2005-08-11,,,,,,
2005-09-13,,,,,,
2005-10-12,,,,,,
2005-11-10,,,,,,
2005-12-13,,,,,,
2005-12-22,,,,,,
2006-01-11,,,,,,
2006-02-13,,,,,,
2006-03-13,,,,,,
2006-04-11,,,,,,
2006-05-11,,,,,,
2006-06-13,,,,,,
2006-07-12,,,,,,
2006-08-11,,,,,,
2006-09-13,,,,,,
2006-10-11,,,,,,
2006-11-13,,,,,,
2006-12-13,,,,,,
2007-01-11,,,,,,
2007-02-13,,,,,,
2007-03-13,,,,,,
2007-04-11,,,,,,
2007-05-11,,,,,,
2007-06-13,,,,,,
2007-07-11,,,,,,
2007-08-13,,,,,,
2007-09-12,,,,,,
2007-10-11,,,,,,
2007-11-13,,,,,,
2007-12-12,,,,,,
2007-12-21,,,,,,
2008-01-11,,,,,,
2008-02-13,,,,,,
2008-03-12,,,,,,
2008-04-11,,,,,,
2008-05-13,,,,,,
