Date,Open,High,Low,Close,Adj Close,Volume
2000-02-10,,,,,,
2000-03-15,,,,,,
2000-04-13,,,,,,
2000-05-11,,,,,,
2000-06-14,,,,,,
2000-07-13,,,,,,
2000-08-14,,,,,,
2000-09-14,,,,,,
2000-10-12,,,,,,
2000-11-09,,,,,,
2000-12-14,,,,,,
2001-01-16,,,,,,
2001-02-13,,,,,,
2001-03-14,,,,,,
2001-04-17,,,,,,
2001-05-14,,,,,,
2001-06-13,,,,,,
2001-07-18,,,,,,
2001-08-22,,,,,,
2001-09-20,,,,,,
2001-12-12,,,,,,
2002-03-13,,,,,,
2002-06-12,,,,,,
2002-09-12,,,,,,
2002-12-12,,,,,,
2003-03-13,,,,,,
2003-06-12,,,,,,
2003-09-12,,,,,,
2003-12-15,,,,,,
2004-03-15,,,,,,
2004-06-14,,,,,,
2004-09-14,,,,,,
2004-12-15,,,,,,
2005-03-15,,,,,,
2005-06-14,,,,,,
2005-09-14,,,,,,
2005-12-13,,,,,,
2006-03-13,,,,,,
2006-06-13,,,,,,
2006-09-14,,,,,,
2006-12-14,,,,,,
2007-03-13,,,,,,
2007-06-13,,,,,,
2007-09-14,,,,,,
2007-12-14,,,,,,
2008-03-13,,,,,,
2008-04-07,3.799999952316284,3.950000047683716,3.799999952316284,3.9000000953674316,1.5855894088745117,18445.0
2008-04-08,3.9000000953674316,3.9000000953674316,3.7300000190734863,3.740000009536743,1.520539402961731,131718.0
2008-04-09,3.7799999713897705,3.8399999141693115,3.7799999713897705,3.8399999141693115,1.5611953735351562,36201.0
2008-04-10,3.8299999237060547,3.8499999046325684,3.7699999809265137,3.8499999046325684,1.5652612447738647,17709.0
2008-04-11,3.8499999046325684,3.880000114440918,3.8399999141693115,3.859999895095825,1.5693269968032837,20200.0
2008-04-14,3.890000104904175,3.9800000190734863,3.880000114440918,3.880000114440918,1.577458381652832,24845.0
2008-04-15,3.859999895095825,3.930000066757202,3.8299999237060547,3.8299999237060547,1.557129979133606,40094.0
2008-04-16,3.8399999141693115,3.930000066757202,3.8399999141693115,3.8499999046325684,1.5652612447738647,5707.0
2008-04-17,3.8499999046325684,3.859999895095825,3.8399999141693115,3.8399999141693115,1.5611953735351562,6900.0
2008-04-18,3.8399999141693115,3.869999885559082,3.8399999141693115,3.869999885559082,1.5733922719955444,6380.0
