Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,1.5,1.625,1.5,1.625,1.625,28400
2000-01-03,1.625,1.625,1.593999981880188,1.625,1.625,5200
2000-01-04,1.5,1.625,1.5,1.625,1.625,21400
2000-01-05,1.5,1.5,1.5,1.5,1.5,1700
2000-01-06,1.5,1.5,1.5,1.5,1.5,13300
2000-01-07,1.5,1.718999981880188,1.5,1.718999981880188,1.718999981880188,10400
2000-01-10,1.5,1.812999963760376,1.437999963760376,1.437999963760376,1.437999963760376,14100
2000-01-11,1.656000018119812,1.656000018119812,1.5,1.5,1.5,700
2000-01-12,1.5,1.5,1.5,1.5,1.5,3000
2000-01-13,1.659999966621399,1.937999963760376,1.656000018119812,1.812999963760376,1.812999963760376,22400
2000-01-14,1.75,2.375,1.75,2.2809998989105225,2.2809998989105225,30400
2000-01-18,2.25,2.312999963760376,1.875,2.125,2.125,35300
2000-01-19,1.9700000286102295,2.125,1.875,2.0,2.0,6900
2000-01-20,1.8799999952316284,2.2809998989105225,1.875,2.25,2.25,51600
2000-01-21,2.130000114440918,5.0,2.125,2.875,2.875,174200
2000-01-24,4.340000152587891,4.375,2.812999963760376,3.375,3.375,147700
2000-01-25,3.437999963760376,3.437999963760376,3.0,3.0,3.0,80900
2000-01-26,3.0,3.5,3.0,3.25,3.25,85500
2000-01-27,3.5,3.812999963760376,3.25,3.5,3.5,134200
2000-01-28,3.4100000858306885,3.625,3.0,3.5,3.5,48600
2000-01-31,3.190000057220459,3.5309998989105225,3.187999963760376,3.5309998989105225,3.5309998989105225,51500
2000-02-01,3.5,4.625,3.375,4.625,4.625,524900
2000-02-02,5.0,5.125,4.25,4.25,4.25,202800
2000-02-03,4.46999979019165,4.625,4.313000202178955,4.438000202178955,4.438000202178955,56600
2000-02-04,4.440000057220459,5.188000202178955,4.063000202178955,4.875,4.875,199000
2000-02-07,4.840000152587891,4.875,4.406000137329102,4.625,4.625,125200
2000-02-08,4.46999979019165,4.968999862670898,4.25,4.938000202178955,4.938000202178955,412200
2000-02-09,4.809999942779541,4.968999862670898,4.406000137329102,4.75,4.75,225600
2000-02-10,4.75,4.75,4.406000137329102,4.625,4.625,163500
2000-02-11,4.659999847412109,5.188000202178955,4.531000137329102,5.125,5.125,538100
2000-02-14,5.25,5.563000202178955,5.0,5.375,5.375,690400
2000-02-15,5.28000020980835,5.5,5.0,5.375,5.375,224600
2000-02-16,5.409999847412109,5.5,5.063000202178955,5.313000202178955,5.313000202178955,354200
2000-02-17,5.380000114440918,7.563000202178955,5.313000202178955,7.5,7.5,1495300
2000-02-18,7.880000114440918,7.938000202178955,6.125,7.125,7.125,282400
2000-02-22,8.970000267028809,9.25,7.25,7.5,7.5,265800
2000-02-23,7.840000152587891,7.875,6.25,7.25,7.25,254100
2000-02-24,7.125,7.125,6.25,6.688000202178955,6.688000202178955,134400
2000-02-25,6.690000057220459,7.063000202178955,6.625,6.75,6.75,95800
2000-02-28,6.840000152587891,6.843999862670898,5.625,6.031000137329102,6.031000137329102,179300
2000-02-29,6.0,7.125,5.313000202178955,7.0,7.0,241900
2000-03-01,7.0,7.125,6.5,7.0,7.0,116600
2000-03-02,7.059999942779541,7.125,6.25,6.625,6.625,120100
2000-03-03,6.96999979019165,8.187999725341797,6.938000202178955,7.5,7.5,566100
2000-03-06,7.690000057220459,11.25,7.0,9.375,9.375,1407200
2000-03-07,9.380000114440918,9.5,8.187999725341797,8.812999725341797,8.812999725341797,374500
2000-03-08,9.1899995803833,9.5,8.375,8.875,8.875,268300
2000-03-09,9.1899995803833,9.25,8.75,9.187999725341797,9.187999725341797,124700
2000-03-10,9.0600004196167,9.187999725341797,8.25,8.687999725341797,8.687999725341797,90300
2000-03-13,8.75,8.875,7.375,8.312999725341797,8.312999725341797,72000
2000-03-14,8.25,8.25,6.5,7.25,7.25,127800
2000-03-15,6.809999942779541,7.5,6.0,6.438000202178955,6.438000202178955,223800
2000-03-16,6.690000057220459,6.875,5.625,6.313000202178955,6.313000202178955,89300
2000-03-17,6.75,7.5,6.063000202178955,6.875,6.875,103500
2000-03-20,7.0,7.25,6.5,6.5,6.5,51400
2000-03-21,7.0,7.0,5.875,5.968999862670898,5.968999862670898,59500
2000-03-22,5.880000114440918,7.468999862670898,5.625,6.75,6.75,335400
2000-03-23,7.190000057220459,7.5,6.563000202178955,7.0,7.0,235900
2000-03-24,7.03000020980835,7.063000202178955,6.75,6.75,6.75,53900
2000-03-27,6.409999847412109,6.938000202178955,6.375,6.688000202178955,6.688000202178955,38500
2000-03-28,6.840000152587891,6.843999862670898,6.0,6.063000202178955,6.063000202178955,108200
2000-03-29,6.059999942779541,6.5,5.375,6.375,6.375,29900
2000-03-30,6.380000114440918,6.75,5.375,5.5,5.5,94800
2000-03-31,5.75,6.688000202178955,5.718999862670898,6.0,6.0,20400
