Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,1.375,1.375,1.375,1.375,1.375,0
2000-01-03,1.375,1.375,1.375,1.375,1.375,0
2000-01-04,1.375,1.375,1.375,1.375,1.375,1000
2000-01-05,1.375,1.375,1.375,1.375,1.375,0
2000-01-06,1.375,1.375,1.375,1.375,1.375,0
2000-01-07,1.1875,1.1875,1.1875,1.1875,1.1875,200
2000-01-10,1.1875,1.1875,1.1875,1.1875,1.1875,0
2000-01-11,1.1875,1.1875,1.1875,1.1875,1.1875,0
2000-01-12,1.1875,1.1875,1.1875,1.1875,1.1875,0
2000-01-13,1.375,1.375,1.25,1.25,1.25,1400
2000-01-14,1.125,1.125,1.125,1.125,1.125,500
2000-01-18,1.25,1.25,1.25,1.25,1.25,600
2000-01-19,1.25,1.25,1.09375,1.09375,1.09375,900
2000-01-20,1.25,1.875,1.25,1.875,1.875,2900
2000-01-21,1.875,1.875,1.875,1.875,1.875,0
2000-01-24,1.25,1.25,1.25,1.25,1.25,400
2000-01-25,1.25,1.875,1.25,1.875,1.875,900
2000-01-26,1.875,1.875,1.875,1.875,1.875,0
2000-01-27,1.25,1.25,1.25,1.25,1.25,1000
2000-01-28,1.25,1.25,1.25,1.25,1.25,0
2000-01-31,1.25,2.25,1.25,2.125,2.125,40300
2000-02-01,2.0625,2.125,1.75,1.75,1.75,14400
2000-02-02,2.125,2.125,2.125,2.125,2.125,500
2000-02-03,1.6875,1.6875,1.125,1.5,1.5,11900
2000-02-04,1.5,1.5,1.25,1.25,1.25,11800
2000-02-07,1.25,1.25,1.25,1.25,1.25,0
2000-02-08,1.25,1.25,1.25,1.25,1.25,0
2000-02-09,1.25,1.25,1.25,1.25,1.25,0
2000-02-10,1.25,1.25,1.25,1.25,1.25,0
2000-02-11,2.0,2.0,2.0,2.0,2.0,100
2000-02-14,2.0,2.0,2.0,2.0,2.0,100
2000-02-15,2.0,2.0,1.75,1.75,1.75,2500
2000-02-16,2.0,2.0,2.0,2.0,2.0,2900
2000-02-17,2.0,2.0,1.375,2.0,2.0,1100
2000-02-18,1.375,2.0,1.375,1.375,1.375,200
2000-02-22,2.0,2.0,2.0,2.0,2.0,3000
2000-02-23,1.375,1.375,1.375,1.375,1.375,500
2000-02-24,1.375,1.375,1.375,1.375,1.375,0
2000-02-25,2.0,2.125,1.75,1.75,1.75,5300
2000-02-28,2.0,2.875,1.75,2.875,2.875,36800
2000-02-29,2.875,2.875,1.781000018119812,2.5,2.5,133
2000-03-01,2.5,2.875,2.0,2.0,2.0,18700
2000-03-02,2.0,2.5,2.0,2.0,2.0,4900
2000-03-03,2.0,2.5,1.75,1.75,1.75,13400
2000-03-06,1.75,1.75,1.75,1.75,1.75,0
2000-03-07,1.875,2.0625,1.875,2.0625,2.0625,6500
2000-03-08,2.1875,2.1875,1.875,1.875,1.875,9200
2000-03-09,1.875,1.875,1.875,1.875,1.875,500
2000-03-10,1.875,1.875,1.875,1.875,1.875,7200
2000-03-13,1.875,2.25,1.875,1.875,1.875,200
2000-03-14,2.25,2.25,1.875,2.25,2.25,10100
2000-03-15,2.25,2.25,2.25,2.25,2.25,200
2000-03-16,2.25,2.25,1.75,1.75,1.75,400
2000-03-17,2.25,2.25,2.0,2.0,2.0,2200
2000-03-20,2.0,2.0,2.0,2.0,2.0,0
2000-03-21,1.812000036239624,1.812000036239624,1.812000036239624,1.812000036239624,1.812000036239624,500
2000-03-22,2.430000066757202,2.430000066757202,1.75,2.125,2.125,11800
2000-03-23,2.125,2.125,1.75,2.0,2.0,6300
2000-03-24,2.0,2.0,2.0,2.0,2.0,2500
2000-03-27,2.125,2.125,2.125,2.125,2.125,500
2000-03-28,2.0,2.125,2.0,2.125,2.125,2000
